"",BBFB1.Q.N.DE.HU.S1.S1.T.A.FA.O.F.L._T._X.N,BBFB1.Q.N.DE.HU.S1.S1.T.A.FA.O.F.L._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Long-term loans / Hungary,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:43:57,
1991-01,5.466,
1991-04,-2.124,
1991-07,-57.656,
1991-10,36.162,
1992-01,-40.777,
1992-04,1.249,
1992-07,5.305,
1992-10,6.175,
1993-01,-35.212,
1993-04,-25.991,
1993-07,-13.147,
1993-10,23.038,
1994-01,0.771,
1994-04,-47.623,
1994-07,-60.511,
1994-10,-37.128,
1995-01,54.447,
1995-04,0.609,
1995-07,-43.356,
1995-10,34.656,
1996-01,-70.722,
1996-04,-104.406,
1996-07,51.447,
1996-10,-0.352,
1997-01,-22.342,
1997-04,-360.760,
1997-07,96.240,
1997-10,111.453,
1998-01,-6.237,
1998-04,148.443,
1998-07,89.896,
1998-10,100.466,
1999-01,-8.972,
1999-04,23.942,
1999-07,163.492,
1999-10,72.285,
2000-01,10.260,
2000-04,213.905,
2000-07,133.464,
2000-10,109.614,
2001-01,93.311,
2001-04,15.806,
2001-07,-131.573,
2001-10,225.173,
2002-01,72.687,
2002-04,-59.176,
2002-07,87.955,
2002-10,301.033,
2003-01,143.202,
2003-04,81.839,
2003-07,194.557,
2003-10,214.600,
2004-01,-42.360,
2004-04,313.585,
2004-07,-235.485,
2004-10,-64.859,
2005-01,131.398,
2005-04,368.953,
2005-07,94.290,
2005-10,5.797,
2006-01,-67.260,
2006-04,228.539,
2006-07,108.965,
2006-10,281.402,
2007-01,28.581,
2007-04,203.243,
2007-07,56.374,
2007-10,285.512,
2008-01,796.429,
2008-04,541.595,
2008-07,480.254,
2008-10,572.080,
2009-01,-20.851,
2009-04,146.354,
2009-07,147.847,
2009-10,363.478,
2010-01,-209.249,
2010-04,-99.609,
2010-07,-511.424,
2010-10,-298.845,
2011-01,433.183,
2011-04,-303.173,
2011-07,-268.616,
2011-10,-47.639,
2012-01,-826.612,
2012-04,-304.752,
2012-07,-196.710,
2012-10,-336.484,
2013-01,-95.605,
2013-04,-14.842,
2013-07,-2.461,
2013-10,-51.440,
2014-01,-56.030,Provisional value
2014-04,-75.964,Provisional value
2014-07,-333.934,Provisional value
2014-10,-178.186,Provisional value
