"",BBK01.OEAD33V,BBK01.OEAD33V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:02:08,
2002-01,0.103,
2002-04,0.093,
2002-07,0.091,
2002-10,0.093,
2003-01,0.098,
2003-04,0.079,
2003-07,0.073,
2003-10,0.068,
2004-01,0.067,
2004-04,0.065,
2004-07,0.060,
2004-10,0.059,
2005-01,0.052,
2005-04,0.050,
2005-07,0.054,
2005-10,0.050,
2006-01,0.051,
2006-04,0.052,
2006-07,0.051,
2006-10,0.047,
2007-01,0.044,
2007-04,0.045,
2007-07,0.044,
2007-10,0.050,
2008-01,0.054,
2008-04,0.052,
2008-07,0.054,
2008-10,0.069,
2009-01,0.068,
2009-04,0.067,
2009-07,0.062,
2009-10,0.060,
2010-01,0.053,
2010-04,0.056,
2010-07,0.063,
2010-10,0.055,
2011-01,0.056,
2011-04,0.051,
2011-07,0.054,
2011-10,0.063,
2012-01,0.064,
2012-04,0.065,
2012-07,0.062,
2012-10,0.066,
2013-01,0.065,
2013-04,0.059,
2013-07,0.065,
2013-10,0.063,
2014-01,0.065,
2014-04,0.065,
2014-07,0.065,
