"",BBK01.OEHB23U,BBK01.OEHB23U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:41:39,
2002-01,0.084,
2002-04,0.085,
2002-07,0.084,
2002-10,0.093,
2003-01,0.094,
2003-04,0.098,
2003-07,0.072,
2003-10,0.060,
2004-01,0.056,
2004-04,0.051,
2004-07,0.041,
2004-10,0.050,
2005-01,0.049,
2005-04,0.049,
2005-07,0.046,
2005-10,0.033,
2006-01,0.036,
2006-04,0.076,
2006-07,0.087,
2006-10,0.102,
2007-01,0.103,
2007-04,0.103,
2007-07,0.103,
2007-10,0.143,
2008-01,0.140,
2008-04,0.150,
2008-07,0.151,
2008-10,0.151,
2009-01,0.155,
2009-04,0.147,
2009-07,0.159,
2009-10,0.138,
2010-01,0.137,
2010-04,0.146,
2010-07,0.148,
2010-10,0.148,
2011-01,0.173,
2011-04,0.133,
2011-07,0.131,
2011-10,0.121,
2012-01,0.116,
2012-04,0.116,
2012-07,0.116,
2012-10,0.104,
2013-01,0.100,
2013-04,0.099,
2013-07,0.099,
2013-10,0.109,
2014-01,0.118,
2014-04,0.113,
2014-07,0.093,
