"",BBK01.OXA8J7,BBK01.OXA8J7_FLAGS
"","Stocks of loans to domestic non-financial corporations (including bills of exchange), traditionally securitised by servicing banks (MFIs) in Germany also being the originator with removal from the balance sheet - All categories of banks",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:15:37,
2009-12,6.164,
2010-01,5.934,
2010-02,-,Nothing exists
2010-03,5.387,
2010-04,-,Nothing exists
2010-05,5.174,
2010-06,5.106,
2010-07,5.017,
2010-08,4.837,
2010-09,4.717,
2010-10,4.571,
2010-11,4.363,
2010-12,4.196,
2011-01,4.155,
2011-02,3.972,
2011-03,3.920,
2011-04,3.857,
2011-05,3.794,
2011-06,3.739,
2011-07,3.767,
2011-08,3.659,
2011-09,3.549,
2011-10,3.554,
2011-11,3.233,
2011-12,3.211,
2012-01,3.196,
2012-02,3.158,
2012-03,2.995,
2012-04,2.770,
2012-05,2.769,
2012-06,2.744,
2012-07,2.553,
2012-08,2.524,
2012-09,2.514,
2012-10,2.566,
2012-11,2.397,
2012-12,2.400,
2013-01,2.402,
2013-02,2.432,
2013-03,2.454,
2013-04,2.453,
2013-05,2.460,
2013-06,2.465,
2013-07,2.495,
2013-08,2.455,
2013-09,2.423,
2013-10,2.421,
2013-11,2.418,
2013-12,2.415,
2014-01,1.885,
2014-02,1.920,
2014-03,1.803,
2014-04,1.790,
2014-05,1.889,
2014-06,1.924,
2014-07,1.727,
2014-08,1.513,
2014-09,1.200,
2014-10,0.721,
2014-11,0.656,
2014-12,0.646,Provisional value
