"",BBK01.OEXB01K,BBK01.OEXB01K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:26,
2002-01,21.640,
2002-04,21.099,
2002-07,20.406,
2002-10,20.426,
2003-01,20.350,
2003-04,21.046,
2003-07,23.065,
2003-10,22.539,
2004-01,22.737,
2004-04,21.853,
2004-07,22.059,
2004-10,13.678,
2005-01,13.128,
2005-04,12.885,
2005-07,13.464,
2005-10,13.450,
2006-01,14.539,
2006-04,15.223,
2006-07,15.756,
2006-10,15.859,
2007-01,16.220,
2007-04,16.339,
2007-07,16.618,
2007-10,17.044,
2008-01,17.216,
2008-04,17.862,
2008-07,18.483,
2008-10,19.223,
2009-01,20.147,
2009-04,20.132,
2009-07,20.324,
2009-10,20.647,
2010-01,20.937,
2010-04,21.417,
2010-07,18.958,
2010-10,19.335,
2011-01,18.273,
2011-04,17.665,
2011-07,18.045,
2011-10,17.646,
2012-01,17.684,
2012-04,17.977,
2012-07,17.754,
2012-10,18.117,
2013-01,18.470,
2013-04,18.501,
2013-07,18.897,
2013-10,18.829,
2014-01,18.858,
2014-04,19.305,
2014-07,19.983,
