"",BBK01.WX0073,BBK01.WX0073_FLAGS
"",Zero-coupon euro swap curve / bootstrapped and interpolated / 1.0 year / end of month,
unit,,
unit multiplier,one,
last update,2015-02-02 10:29:22,
2002-01,3.662,
2002-02,3.660,
2002-03,4.027,
2002-04,3.831,
2002-05,4.041,
2002-06,3.792,
2002-07,3.518,
2002-08,3.427,
2002-09,3.060,
2002-10,3.085,
2002-11,3.005,
2002-12,2.722,
2003-01,2.643,
2003-02,2.364,
2003-03,2.409,
2003-04,2.390,
2003-05,2.143,
2003-06,2.045,
2003-07,2.225,
2003-08,2.345,
2003-09,2.131,
2003-10,2.413,
2003-11,2.520,
2003-12,2.325,
2004-01,2.296,
2004-02,2.095,
2004-03,1.987,
2004-04,2.246,
2004-05,2.381,
2004-06,2.424,
2004-07,2.392,
2004-08,2.295,
2004-09,2.396,
2004-10,2.326,
2004-11,2.308,
2004-12,2.371,
2005-01,2.315,
2005-02,2.366,
2005-03,2.366,
2005-04,2.215,
2005-05,2.161,
2005-06,2.081,
2005-07,2.238,
2005-08,2.216,
2005-09,2.351,
2005-10,2.587,
2005-11,2.800,
2005-12,2.867,
2006-01,2.936,
2006-02,3.020,
2006-03,3.282,
2006-04,3.331,
2006-05,3.383,
2006-06,3.555,
2006-07,3.572,
2006-08,3.665,
2006-09,3.769,
2006-10,3.879,
2006-11,3.888,
2006-12,4.073,
2007-01,4.131,
2007-02,4.113,
2007-03,4.232,
2007-04,4.332,
2007-05,4.528,
2007-06,4.588,
2007-07,4.567,
2007-08,4.697,
2007-09,4.677,
2007-10,4.646,
2007-11,4.636,
2007-12,4.707,
2008-01,4.176,
2008-02,4.125,
2008-03,4.537,
2008-04,4.823,
2008-05,5.105,
2008-06,5.356,
2008-07,5.156,
2008-08,5.099,
2008-09,4.973,
2008-10,4.012,
2008-11,3.289,
2008-12,2.659,
2009-01,2.069,
2009-02,1.875,
2009-03,1.599,
2009-04,1.559,
2009-05,1.419,
2009-06,1.356,
2009-07,1.189,
2009-08,1.203,
2009-09,1.169,
2009-10,1.235,
2009-11,1.251,
2009-12,1.303,
2010-01,1.182,
2010-02,1.080,
2010-03,1.071,
2010-04,1.110,
2010-05,1.102,
2010-06,1.160,
2010-07,1.194,
2010-08,1.129,
2010-09,1.267,
2010-10,1.394,
2010-11,1.354,
2010-12,1.296,
2011-01,1.555,
2011-02,1.657,
2011-03,1.870,
2011-04,1.950,
2011-05,1.901,
2011-06,1.958,
2011-07,1.849,
2011-08,1.617,
2011-09,1.584,
2011-10,1.607,
2011-11,1.487,
2011-12,1.407,
2012-01,1.239,
2012-02,1.139,
2012-03,1.021,
2012-04,0.919,
2012-05,0.867,
2012-06,0.849,
2012-07,0.585,
2012-08,0.489,
2012-09,0.404,
2012-10,0.396,
2012-11,0.348,
2012-12,0.321,
2013-01,0.506,
2013-02,0.330,
2013-03,0.405,
2013-04,0.322,
2013-05,0.332,
2013-06,0.419,
2013-07,0.394,
2013-08,0.421,
2013-09,0.395,
2013-10,0.366,
2013-11,0.333,
2013-12,0.383,
2014-01,0.358,
2014-02,0.373,
2014-03,0.411,
2014-04,0.397,
2014-05,0.352,
2014-06,0.285,
2014-07,0.293,
2014-08,0.246,
2014-09,0.174,
2014-10,0.178,
2014-11,0.166,
2014-12,0.159,
2015-01,0.126,
