"",BBFN1.M.DE.N.1.L.W03100.S1P.H2.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.W03100.S1P.H2.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from advance payments received / Total / Emerging economies and developing countries,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:08:13,
1995-01,12.258,
1995-02,12.393,
1995-03,12.426,
1995-04,12.596,
1995-05,12.431,
1995-06,12.873,
1995-07,13.072,
1995-08,13.352,
1995-09,12.722,
1995-10,12.232,
1995-11,12.366,
1995-12,12.172,
1996-01,12.619,
1996-02,12.753,
1996-03,12.974,
1996-04,13.272,
1996-05,13.483,
1996-06,12.805,
1996-07,12.894,
1996-08,12.938,
1996-09,12.113,
1996-10,12.498,
1996-11,12.358,
1996-12,12.057,
1997-01,12.514,
1997-02,12.655,
1997-03,12.903,
1997-04,13.270,
1997-05,13.411,
1997-06,12.947,
1997-07,13.787,
1997-08,13.467,
1997-09,13.331,
1997-10,13.642,
1997-11,13.615,
1997-12,13.134,
1998-01,13.351,
1998-02,14.172,
1998-03,13.711,
1998-04,14.076,
1998-05,13.801,
1998-06,12.143,
1998-07,12.380,
1998-08,12.197,
1998-09,11.691,
1998-10,11.685,
1998-11,11.809,
1998-12,11.056,
1999-01,11.421,
1999-02,11.518,
1999-03,11.415,
1999-04,10.154,
1999-05,10.210,
1999-06,10.441,
1999-07,10.522,
1999-08,10.479,
1999-09,9.549,
1999-10,9.266,
1999-11,9.947,
1999-12,9.466,
2000-01,9.855,
2000-02,9.897,
2000-03,9.957,
2000-04,10.012,
2000-05,10.237,
2000-06,9.573,
2000-07,9.680,
2000-08,9.419,
2000-09,9.154,
2000-10,9.531,
2000-11,9.691,
2000-12,9.598,
2001-01,9.333,
2001-02,9.736,
2001-03,9.980,
2001-04,10.408,
2001-05,10.406,
2001-06,10.883,
2001-07,9.851,
2001-08,10.820,
2001-09,10.980,
2001-10,11.185,
2001-11,11.250,
2001-12,10.948,
2002-01,10.529,
2002-02,10.602,
2002-03,10.611,
2002-04,9.925,
2002-05,11.263,
2002-06,11.459,
2002-07,11.738,
2002-08,11.397,
2002-09,11.412,
2002-10,11.901,
2002-11,11.978,
2002-12,11.065,
2003-01,11.963,
2003-02,11.104,
2003-03,11.425,
2003-04,11.864,
2003-05,12.233,
2003-06,12.227,
2003-07,12.342,
2003-08,12.741,
2003-09,12.724,
2003-10,12.974,
2003-11,12.942,
2003-12,13.249,
2004-01,13.615,
2004-02,13.914,
2004-03,14.320,
2004-04,14.670,
2004-05,13.774,
2004-06,13.651,
2004-07,13.958,
2004-08,14.978,
2004-09,13.771,
2004-10,13.991,
2004-11,13.908,
2004-12,13.835,
2005-01,13.764,
2005-02,14.020,
2005-03,14.417,
2005-04,14.517,
2005-05,14.820,
2005-06,14.758,
2005-07,15.035,
2005-08,15.046,
2005-09,14.993,
2005-10,15.477,
2005-11,15.803,
2005-12,15.571,
2006-01,15.961,
2006-02,16.720,
2006-03,16.961,
2006-04,17.327,
2006-05,17.946,
2006-06,18.290,
2006-07,19.068,
2006-08,19.598,
2006-09,19.750,
2006-10,20.086,
2006-11,19.563,
2006-12,19.829,
2007-01,19.762,
2007-02,20.548,
2007-03,21.340,
2007-04,22.046,
2007-05,21.998,
2007-06,22.809,
2007-07,23.498,
2007-08,24.659,
2007-09,24.640,
2007-10,25.513,
2007-11,25.884,
2007-12,24.957,
2008-01,25.745,
2008-02,26.332,
2008-03,26.758,
2008-04,27.738,
2008-05,28.020,
2008-06,28.052,
2008-07,28.618,
2008-08,29.260,
2008-09,28.878,
2008-10,29.512,
2008-11,28.994,
2008-12,27.832,
2009-01,29.017,
2009-02,29.328,
2009-03,29.582,
2009-04,30.130,
2009-05,29.850,
2009-06,29.768,
2009-07,30.350,
2009-08,30.485,
2009-09,29.102,
2009-10,29.344,
2009-11,28.953,
2009-12,29.257,
2010-01,29.525,
2010-02,29.733,
2010-03,30.069,
2010-04,30.582,
2010-05,30.546,
2010-06,30.820,
2010-07,31.192,
2010-08,30.982,
2010-09,30.178,
2010-10,31.099,
2010-11,30.828,
2010-12,30.466,
2011-01,30.926,
2011-02,31.421,
2011-03,31.117,
2011-04,31.649,
2011-05,32.119,
2011-06,32.014,
2011-07,32.289,
2011-08,32.454,
2011-09,32.258,
2011-10,32.169,
2011-11,32.315,
2011-12,31.966,
2012-01,32.540,
2012-02,33.041,
2012-03,32.615,
2012-04,33.250,
2012-05,33.492,
2012-06,32.800,
2012-07,33.072,
2012-08,33.820,
2012-09,34.604,
2012-10,34.521,
2012-11,34.725,
2012-12,33.683,
2013-01,34.435,
2013-02,34.360,
2013-03,34.652,
2013-04,34.936,
2013-05,34.408,
2013-06,34.868,
2013-07,32.228,
2013-08,32.489,
2013-09,32.957,
2013-10,33.993,
2013-11,33.259,
2013-12,32.280,
2014-01,32.277,
2014-02,33.026,
2014-03,32.055,
2014-04,32.150,
2014-05,32.816,
2014-06,32.603,
2014-07,32.565,
2014-08,33.117,
2014-09,32.022,
2014-10,31.862,
2014-11,31.868,
2014-12,31.234,
"","General: All countries that are not regarded as industrial countries. Up to December 2010 including Niederl. Antillen; from January 2011 including Bonaire,St.Eustatius, Saba; Curacao; St.Martin (Dutch part)",
