"",BBK01.CEFO0I,BBK01.CEFO0I_FLAGS
"",Other deposits  debtor: Total   creditor: Households (incl. NPISH),
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:31:39,
1999-01,947.9,
1999-04,935.7,
1999-07,926.7,
1999-10,927.6,
2000-01,911.0,
2000-04,897.5,
2000-07,895.4,
2000-10,894.5,
2001-01,901.2,
2001-04,901.9,
2001-07,906.0,
2001-10,913.2,
2002-01,909.2,
2002-04,897.7,
2002-07,899.5,
2002-10,908.7,
2003-01,910.3,
2003-04,903.4,
2003-07,902.0,
2003-10,901.5,
2004-01,902.0,
2004-04,897.5,
2004-07,898.3,
2004-10,906.0,
2005-01,905.4,
2005-04,901.3,
2005-07,897.8,
2005-10,900.8,
2006-01,907.7,
2006-04,909.0,
2006-07,917.5,
2006-10,923.6,
2007-01,932.1,
2007-04,936.1,
2007-07,950.4,
2007-10,971.5,
2008-01,982.9,
2008-04,995.7,
2008-07,1005.2,
2008-10,1042.2,
2009-01,1002.0,
2009-04,981.7,
2009-07,959.5,
2009-10,942.4,
2010-01,938.6,
2010-04,934.9,
2010-07,933.5,
2010-10,946.7,
2011-01,954.8,
2011-04,961.0,
2011-07,967.9,
2011-10,974.1,
2012-01,982.5,
2012-04,978.7,
2012-07,970.5,
2012-10,957.9,
2013-01,945.1,
2013-04,932.9,
2013-07,922.2,
2013-10,922.3,
2014-01,921.1,
2014-04,917.5,
2014-07,918.4,
