"",BBK01.OEAF36S,BBK01.OEAF36S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:10:00,
2002-01,0.720,
2002-04,0.719,
2002-07,0.728,
2002-10,0.731,
2003-01,0.721,
2003-04,0.729,
2003-07,0.662,
2003-10,0.673,
2004-01,0.654,
2004-04,0.649,
2004-07,0.614,
2004-10,0.624,
2005-01,0.626,
2005-04,0.636,
2005-07,0.617,
2005-10,0.614,
2006-01,0.616,
2006-04,0.639,
2006-07,0.651,
2006-10,0.657,
2007-01,0.662,
2007-04,0.669,
2007-07,0.679,
2007-10,0.676,
2008-01,0.691,
2008-04,0.726,
2008-07,0.743,
2008-10,0.759,
2009-01,0.766,
2009-04,0.784,
2009-07,0.840,
2009-10,0.839,
2010-01,0.853,
2010-04,0.879,
2010-07,0.847,
2010-10,0.891,
2011-01,0.896,
2011-04,0.908,
2011-07,0.931,
2011-10,0.955,
2012-01,0.957,
2012-04,0.969,
2012-07,0.979,
2012-10,0.949,
2013-01,0.947,
2013-04,0.966,
2013-07,0.978,
2013-10,0.985,
2014-01,0.997,
2014-04,1.025,
2014-07,1.041,
