"",BBFN1.M.DE.N.1.A.GR.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.GR.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from credit terms granted / Total / Greece,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:10:24,
1994-07,0.606,
1994-08,0.674,
1994-09,0.688,
1994-10,0.686,
1994-11,0.719,
1994-12,0.725,
1995-01,0.731,
1995-02,0.767,
1995-03,0.736,
1995-04,0.748,
1995-05,0.749,
1995-06,0.758,
1995-07,0.731,
1995-08,0.689,
1995-09,0.707,
1995-10,0.708,
1995-11,0.985,
1995-12,0.682,
1996-01,0.691,
1996-02,0.692,
1996-03,0.726,
1996-04,0.714,
1996-05,0.714,
1996-06,0.721,
1996-07,0.710,
1996-08,0.712,
1996-09,0.682,
1996-10,0.686,
1996-11,0.719,
1996-12,0.680,
1997-01,0.691,
1997-02,0.733,
1997-03,0.771,
1997-04,0.786,
1997-05,0.781,
1997-06,0.789,
1997-07,0.760,
1997-08,0.752,
1997-09,0.787,
1997-10,0.834,
1997-11,0.848,
1997-12,0.841,
1998-01,0.832,
1998-02,0.883,
1998-03,0.858,
1998-04,0.882,
1998-05,0.902,
1998-06,0.969,
1998-07,0.959,
1998-08,0.921,
1998-09,0.959,
1998-10,0.972,
1998-11,0.946,
1998-12,0.924,
1999-01,0.931,
1999-02,0.975,
1999-03,0.969,
1999-04,0.982,
1999-05,1.075,
1999-06,1.087,
1999-07,1.002,
1999-08,1.021,
1999-09,1.085,
1999-10,1.159,
1999-11,1.183,
1999-12,1.201,
2000-01,1.099,
2000-02,1.141,
2000-03,1.201,
2000-04,1.173,
2000-05,1.222,
2000-06,1.229,
2000-07,1.207,
2000-08,1.199,
2000-09,1.259,
2000-10,1.306,
2000-11,1.322,
2000-12,1.331,
2001-01,1.281,
2001-02,1.205,
2001-03,1.244,
2001-04,1.251,
2001-05,1.233,
2001-06,1.320,
2001-07,1.222,
2001-08,1.247,
2001-09,1.284,
2001-10,1.363,
2001-11,1.422,
2001-12,1.371,
2002-01,1.311,
2002-02,1.347,
2002-03,1.318,
2002-04,1.341,
2002-05,1.353,
2002-06,1.420,
2002-07,1.344,
2002-08,1.326,
2002-09,1.347,
2002-10,1.404,
2002-11,1.364,
2002-12,1.434,
2003-01,1.422,
2003-02,1.416,
2003-03,1.448,
2003-04,1.292,
2003-05,1.268,
2003-06,1.261,
2003-07,1.256,
2003-08,1.269,
2003-09,1.265,
2003-10,1.323,
2003-11,1.347,
2003-12,1.336,
2004-01,1.370,
2004-02,1.411,
2004-03,1.439,
2004-04,1.403,
2004-05,1.434,
2004-06,1.491,
2004-07,1.501,
2004-08,1.366,
2004-09,1.361,
2004-10,1.359,
2004-11,1.376,
2004-12,1.229,
2005-01,1.243,
2005-02,1.344,
2005-03,1.382,
2005-04,1.387,
2005-05,1.407,
2005-06,1.474,
2005-07,1.466,
2005-08,1.364,
2005-09,1.478,
2005-10,1.434,
2005-11,1.489,
2005-12,1.414,
2006-01,1.324,
2006-02,1.354,
2006-03,1.374,
2006-04,1.387,
2006-05,1.395,
2006-06,1.419,
2006-07,1.422,
2006-08,1.352,
2006-09,1.343,
2006-10,1.431,
2006-11,1.496,
2006-12,1.438,
2007-01,1.503,
2007-02,1.590,
2007-03,1.642,
2007-04,1.685,
2007-05,1.726,
2007-06,1.748,
2007-07,1.748,
2007-08,1.580,
2007-09,1.579,
2007-10,1.631,
2007-11,1.738,
2007-12,1.524,
2008-01,1.565,
2008-02,1.589,
2008-03,1.723,
2008-04,1.786,
2008-05,1.820,
2008-06,1.764,
2008-07,1.749,
2008-08,1.704,
2008-09,1.739,
2008-10,1.519,
2008-11,1.586,
2008-12,1.396,
2009-01,1.487,
2009-02,1.476,
2009-03,1.431,
2009-04,1.412,
2009-05,1.335,
2009-06,1.408,
2009-07,1.517,
2009-08,1.404,
2009-09,1.297,
2009-10,1.355,
2009-11,1.411,
2009-12,1.184,
2010-01,1.185,
2010-02,1.177,
2010-03,1.301,
2010-04,1.177,
2010-05,1.163,
2010-06,1.225,
2010-07,1.160,
2010-08,1.121,
2010-09,1.116,
2010-10,1.155,
2010-11,1.148,
2010-12,1.183,
2011-01,1.179,
2011-02,1.202,
2011-03,1.256,
2011-04,1.282,
2011-05,1.271,
2011-06,1.155,
2011-07,1.119,
2011-08,1.052,
2011-09,1.075,
2011-10,1.001,
2011-11,0.992,
2011-12,0.977,
2012-01,0.960,
2012-02,0.983,
2012-03,0.971,
2012-04,0.983,
2012-05,1.019,
2012-06,0.998,
2012-07,0.985,
2012-08,0.944,
2012-09,0.928,
2012-10,0.914,
2012-11,0.912,
2012-12,0.888,
2013-01,0.863,
2013-02,0.880,
2013-03,0.824,
2013-04,0.854,
2013-05,0.829,
2013-06,0.829,
2013-07,0.815,
2013-08,0.888,
2013-09,0.930,
2013-10,0.892,
2013-11,0.899,
2013-12,0.869,
2014-01,0.800,
2014-02,0.866,
2014-03,0.883,
2014-04,0.907,
2014-05,0.978,
2014-06,1.018,
2014-07,1.003,
2014-08,0.938,
2014-09,0.947,
2014-10,1.018,
2014-11,0.897,
2014-12,0.877,
