"",BBSF2.M.1.T.00000.TOT01.I.F.SVG.FR.00000.F03300.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.SVG.FR.00000.F03300.Z01.00_FLAGS
"",Funds total / Funds total / Debt securities total / France,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:43:19,
2009-09,63816,
2009-10,62550,
2009-11,63601,
2009-12,64531,
2010-01,66617,
2010-02,67300,
2010-03,68494,
2010-04,70332,
2010-05,70867,
2010-06,72391,
2010-07,72945,
2010-08,75473,
2010-09,75408,
2010-10,75777,
2010-11,75541,
2010-12,74344,
2011-01,73266,
2011-02,73977,
2011-03,73885,
2011-04,74444,
2011-05,75780,
2011-06,75534,
2011-07,78195,
2011-08,78808,
2011-09,79231,
2011-10,78929,
2011-11,76777,
2011-12,80336,
2012-01,82652,
2012-02,87042,
2012-03,88936,
2012-04,89363,
2012-05,92401,
2012-06,92381,
2012-07,95183,
2012-08,96724,
2012-09,96275,
2012-10,97136,
2012-11,97696,
2012-12,98281,
2013-01,97022,
2013-02,97694,
2013-03,99271,
2013-04,101443,
2013-05,99979,
2013-06,96761,
2013-07,98477,
2013-08,97663,
2013-09,97837,
2013-10,98658,
2013-11,99562,
2013-12,98153,
2014-01,100226,
2014-02,104367,
2014-03,106191,
2014-04,106784,
2014-05,109478,
2014-06,109960,
2014-07,110584,
2014-08,111550,
2014-09,112193,
2014-10,111258,
2014-11,112705,
