"",BBK01.SUD243,BBK01.SUD243_FLAGS
"","New business (volumes) of German banks / Loans to non-financial corporations over EUR 0.25 million and up to EUR 1 million, with floating rate or initial rate fixation up to 3 months",
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-03 10:27:27,
2010-06,3620,
2010-07,4107,
2010-08,3192,
2010-09,4121,
2010-10,3892,
2010-11,3384,
2010-12,3689,
2011-01,3994,
2011-02,3211,
2011-03,3919,
2011-04,4199,
2011-05,3664,
2011-06,3845,
2011-07,4178,
2011-08,3689,
2011-09,3969,
2011-10,4054,
2011-11,3546,
2011-12,4033,
2012-01,4069,
2012-02,3504,
2012-03,4004,
2012-04,4224,
2012-05,3725,
2012-06,3879,
2012-07,4367,
2012-08,3837,
2012-09,3806,
2012-10,4279,
2012-11,3581,
2012-12,3752,
2013-01,4283,
2013-02,3462,
2013-03,3993,
2013-04,4445,
2013-05,3712,
2013-06,3684,
2013-07,4293,
2013-08,3654,
2013-09,3972,
2013-10,4370,
2013-11,3314,
2013-12,3922,
2014-01,4092,
2014-02,3302,
2014-03,4008,
2014-04,4250,
2014-05,3463,
2014-06,3769,
2014-07,4467,
2014-08,3311,
2014-09,3924,
2014-10,4286,
2014-11,3324,
2014-12,3822,Provisional value
"",General: Estimated. The volume of new business is extrapolated to form the underlying total using the Horvitz-Thompson estimator. The amount refers to the single loan transaction considered as new business. Excluding overdrafts. p = Provisional,
