"",BBK01.OEYB23R,BBK01.OEYB23R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:38:27,
2002-01,0.014,
2002-04,0.014,
2002-07,0.013,
2002-10,0.026,
2003-01,0.013,
2003-04,-,Nothing exists
2003-07,-,Nothing exists
2003-10,-,Nothing exists
2004-01,-,Nothing exists
2004-04,-,Nothing exists
2004-07,-,Nothing exists
2004-10,-,Nothing exists
2005-01,-,Nothing exists
2005-04,-,Nothing exists
2005-07,0.003,
2005-10,0.003,
2006-01,0.003,
2006-04,0.003,
2006-07,0.003,
2006-10,0.003,
2007-01,0.003,
2007-04,0.003,
2007-07,0.003,
2007-10,0.003,
2008-01,0.003,
2008-04,0.006,
2008-07,0.015,
2008-10,0.015,
2009-01,0.019,
2009-04,0.038,
2009-07,0.038,
2009-10,0.050,
2010-01,0.080,
2010-04,0.075,
2010-07,0.022,
2010-10,0.054,
2011-01,0.055,
2011-04,0.056,
2011-07,0.056,
2011-10,0.059,
2012-01,0.058,
2012-04,0.055,
2012-07,0.054,
2012-10,0.031,
2013-01,0.067,
2013-04,0.057,
2013-07,0.065,
2013-10,0.056,
2014-01,0.061,
2014-04,0.052,
2014-07,0.044,
