"",BBFB1.Q.N.DE.S6.S1.S1.T.B.CA._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.S6.S1.S1.T.B.CA._Z._Z._Z._T._X.N_FLAGS
"",Current account / Balance of the Current account / Other Asian countries,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:33:53,
1991-01,-4987.172,
1991-04,-5255.124,
1991-07,-5301.704,
1991-10,-3891.322,
1992-01,-4799.478,
1992-04,-3973.462,
1992-07,-3897.163,
1992-10,-3262.450,
1993-01,-3723.097,
1993-04,-3299.566,
1993-07,-4042.292,
1993-10,-2620.174,
1994-01,-4261.229,
1994-04,-2132.321,
1994-07,-2904.128,
1994-10,-2984.068,
1995-01,-2918.532,
1995-04,-3084.756,
1995-07,-3788.220,
1995-10,-2962.434,
1996-01,-3191.030,
1996-04,-2232.589,
1996-07,-2105.814,
1996-10,-764.131,
1997-01,-3992.501,
1997-04,-2736.797,
1997-07,-3286.291,
1997-10,-4010.872,
1998-01,-6488.276,
1998-04,-6211.479,
1998-07,-6370.240,
1998-10,-7020.584,
1999-01,-7415.119,
1999-04,-5788.552,
1999-07,-6788.881,
1999-10,-7224.416,
2000-01,-9671.850,
2000-04,-8611.859,
2000-07,-8538.616,
2000-10,-10381.654,
2001-01,-9299.856,
2001-04,-6479.711,
2001-07,-6192.583,
2001-10,-7173.764,
2002-01,-5365.390,
2002-04,-3852.041,
2002-07,-3486.454,
2002-10,-5570.953,
2003-01,-6741.973,
2003-04,-4370.491,
2003-07,-3163.578,
2003-10,-6456.546,
2004-01,-5163.085,
2004-04,-4450.885,
2004-07,-6634.113,
2004-10,-9137.709,
2005-01,-6689.874,
2005-04,-7664.976,
2005-07,-7212.229,
2005-10,-12109.370,
2006-01,-11233.036,
2006-04,-9630.700,
2006-07,-8002.215,
2006-10,-11092.911,
2007-01,-11683.243,
2007-04,-7660.969,
2007-07,-9894.805,
2007-10,-10185.334,
2008-01,-9323.845,
2008-04,-6237.205,
2008-07,-9869.814,
2008-10,-12134.470,
2009-01,-9074.798,
2009-04,-2771.039,
2009-07,-3988.795,
2009-10,-1662.491,
2010-01,-4958.170,
2010-04,-5419.144,
2010-07,-7728.885,
2010-10,-4882.377,
2011-01,-4260.342,
2011-04,-2070.978,
2011-07,-2544.347,
2011-10,-445.667,
2012-01,-908.565,
2012-04,3199.186,
2012-07,833.326,
2012-10,1970.077,
2013-01,-597.815,
2013-04,3497.376,
2013-07,1819.518,
2013-10,4595.461,
2014-01,610.454,Provisional value
2014-04,5221.859,Provisional value
2014-07,3044.996,Provisional value
