"",BBK01.OEBK04I,BBK01.OEBK04I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:08:09,
2002-01,1.040,
2002-04,0.991,
2002-07,0.924,
2002-10,0.877,
2003-01,0.855,
2003-04,0.775,
2003-07,0.643,
2003-10,0.612,
2004-01,0.586,
2004-04,0.557,
2004-07,0.521,
2004-10,0.586,
2005-01,0.561,
2005-04,0.577,
2005-07,0.557,
2005-10,0.731,
2006-01,0.759,
2006-04,0.775,
2006-07,0.845,
2006-10,1.126,
2007-01,1.140,
2007-04,1.302,
2007-07,1.334,
2007-10,1.434,
2008-01,1.480,
2008-04,1.443,
2008-07,1.513,
2008-10,1.393,
2009-01,0.840,
2009-04,0.622,
2009-07,0.476,
2009-10,0.375,
2010-01,0.330,
2010-04,0.288,
2010-07,0.232,
2010-10,0.352,
2011-01,0.375,
2011-04,0.409,
2011-07,0.445,
2011-10,0.399,
2012-01,0.466,
2012-04,0.414,
2012-07,0.385,
2012-10,0.283,
2013-01,0.256,
2013-04,0.230,
2013-07,0.209,
2013-10,0.206,
2014-01,0.195,
2014-04,0.201,
2014-07,0.200,
