"",BBFB1.Q.N.DE.B2.S1.S1.T.A.FA.O.F._Z._T._X.N,BBFB1.Q.N.DE.B2.S1.S1.T.A.FA.O.F._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / EU15 (fixed composition),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:40:36,
1991-01,2236.308,
1991-04,-7544.679,
1991-07,-3178.064,
1991-10,12564.268,
1992-01,-3043.417,
1992-04,-7469.817,
1992-07,-2660.392,
1992-10,14817.979,
1993-01,22873.456,
1993-04,14914.885,
1993-07,5858.794,
1993-10,43915.127,
1994-01,-14637.084,
1994-04,-17106.594,
1994-07,1194.965,
1994-10,25294.203,
1995-01,4618.823,
1995-04,16106.542,
1995-07,-4811.688,
1995-10,290.423,
1996-01,-8379.363,
1996-04,103.273,
1996-07,-8308.162,
1996-10,26741.035,
1997-01,8197.788,
1997-04,8354.551,
1997-07,-2565.155,
1997-10,21887.403,
1998-01,26050.846,
1998-04,12612.654,
1998-07,7583.195,
1998-10,7335.257,
1999-01,44128.686,
1999-04,-7699.153,
1999-07,22113.225,
1999-10,-6337.954,
2000-01,22104.487,
2000-04,13763.543,
2000-07,19711.528,
2000-10,-18582.213,
2001-01,79821.981,
2001-04,-17882.199,
2001-07,37546.597,
2001-10,-8753.502,
2002-01,16221.607,
2002-04,50040.544,
2002-07,54886.441,
2002-10,15400.753,
2003-01,68584.576,
2003-04,30871.668,
2003-07,1200.374,
2003-10,11125.490,
2004-01,68690.923,
2004-04,-35270.387,
2004-07,75598.343,
2004-10,30618.527,
2005-01,62593.459,
2005-04,18642.724,
2005-07,21258.090,
2005-10,-27090.967,
2006-01,99919.868,
2006-04,20138.365,
2006-07,29534.930,
2006-10,-3018.743,
2007-01,61606.772,
2007-04,96441.986,
2007-07,38171.412,
2007-10,26395.471,
2008-01,108316.673,
2008-04,-10522.570,
2008-07,33747.240,
2008-10,-28088.697,
2009-01,-21911.607,
2009-04,26001.408,
2009-07,-53428.625,
2009-10,15359.408,
2010-01,28191.385,
2010-04,71406.767,
2010-07,64351.456,
2010-10,-35304.400,
2011-01,6007.036,
2011-04,36754.379,
2011-07,151692.598,
2011-10,-52724.121,
2012-01,178752.672,
2012-04,101442.811,
2012-07,-24647.725,
2012-10,-90914.390,
2013-01,-40958.748,
2013-04,-6329.601,
2013-07,-47796.401,
2013-10,-66028.836,
2014-01,-2484.313,Provisional value
2014-04,4417.717,Provisional value
2014-07,13743.723,Provisional value
2014-10,-74196.347,Provisional value
