"",BBK01.OEXI08G,BBK01.OEXI08G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:13,
2002-01,27.678,
2002-04,28.162,
2002-07,28.429,
2002-10,31.688,
2003-01,33.710,
2003-04,34.111,
2003-07,34.868,
2003-10,37.094,
2004-01,38.234,
2004-04,38.578,
2004-07,38.687,
2004-10,39.919,
2005-01,4.244,
2005-04,4.370,
2005-07,2.098,
2005-10,2.176,
2006-01,2.088,
2006-04,2.051,
2006-07,1.944,
2006-10,1.942,
2007-01,1.925,
2007-04,1.918,
2007-07,1.982,
2007-10,2.159,
2008-01,2.210,
2008-04,2.183,
2008-07,2.135,
2008-10,2.183,
2009-01,2.163,
2009-04,2.131,
2009-07,2.217,
2009-10,2.368,
2010-01,2.391,
2010-04,2.266,
2010-07,2.227,
2010-10,2.252,
2011-01,2.233,
2011-04,2.095,
2011-07,2.107,
2011-10,2.134,
2012-01,2.120,
2012-04,2.152,
2012-07,2.169,
2012-10,2.212,
2013-01,2.149,
2013-04,2.133,
2013-07,2.150,
2013-10,2.168,
2014-01,2.146,
2014-04,2.119,
2014-07,2.068,
