"",BBSF2.M.1.S.00000.GEL01.I.F.SVB.U201.00000.F33200.Z01.M1,BBSF2.M.1.S.00000.GEL01.I.F.SVB.U201.00000.F33200.Z01.M1_FLAGS
"","Special investors funds / Money market funds / Long-term debt securities / Euro area member states excluding Germany (changing composition, Bundesbank calculation)",
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:41:24,
2009-09,794,
2009-10,746,
2009-11,739,
2009-12,701,
2010-01,698,
2010-02,671,
2010-03,620,
2010-04,568,
2010-05,548,
2010-06,540,
2010-07,528,
2010-08,522,
2010-09,486,
2010-10,470,
2010-11,461,
2010-12,438,
2011-01,432,
2011-02,433,
2011-03,417,
2011-04,397,
2011-05,394,
2011-06,373,
2011-07,405,
2011-08,420,
2011-09,423,
2011-10,421,
2011-11,407,
2011-12,405,
2012-01,407,
2012-02,397,
2012-03,397,
2012-04,393,
2012-05,388,
2012-06,384,
2012-07,362,
2012-08,320,
2012-09,323,
2012-10,347,
2012-11,351,
2012-12,345,
2013-01,337,
2013-02,420,
2013-03,400,
2013-04,412,
2013-05,406,
2013-06,283,
2013-07,317,
2013-08,314,
2013-09,86,
2013-10,87,
2013-11,88,
2013-12,89,
2014-01,90,
2014-02,91,
2014-03,85,
2014-04,84,
2014-05,84,
2014-06,84,
2014-07,83,
2014-08,84,
2014-09,9,
2014-10,6,
2014-11,4,
