"",BBFB1.Q.N.DE.ES.S1.S1.T.B.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.ES.S1.S1.T.B.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Balance / Spain,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:29:58,
1991-01,-112.429,
1991-04,-113.846,
1991-07,-99.392,
1991-10,-116.934,
1992-01,-126.159,
1992-04,-115.485,
1992-07,-154.694,
1992-10,-125.085,
1993-01,-94.134,
1993-04,-117.087,
1993-07,-132.887,
1993-10,-153.748,
1994-01,-131.186,
1994-04,-127.944,
1994-07,-136.894,
1994-10,-136.677,
1995-01,-141.652,
1995-04,-148.150,
1995-07,-141.768,
1995-10,-149.485,
1996-01,-154.942,
1996-04,-158.613,
1996-07,-153.247,
1996-10,-151.860,
1997-01,-175.486,
1997-04,-196.891,
1997-07,-188.304,
1997-10,-192.548,
1998-01,-173.512,
1998-04,-169.072,
1998-07,-197.413,
1998-10,-177.480,
1999-01,-180.087,
1999-04,-178.175,
1999-07,-187.925,
1999-10,-197.647,
2000-01,-246.797,
2000-04,-212.601,
2000-07,-214.502,
2000-10,-223.665,
2001-01,-235.203,
2001-04,-212.071,
2001-07,-251.259,
2001-10,-238.418,
2002-01,-239.722,
2002-04,-241.989,
2002-07,-260.368,
2002-10,-246.380,
2003-01,-238.095,
2003-04,-224.170,
2003-07,-275.575,
2003-10,-235.305,
2004-01,-219.295,
2004-04,-212.937,
2004-07,-270.849,
2004-10,-221.539,
2005-01,-193.495,
2005-04,-216.483,
2005-07,-201.103,
2005-10,-200.856,
2006-01,-198.834,
2006-04,-188.823,
2006-07,-203.277,
2006-10,-212.180,
2007-01,-201.378,
2007-04,-204.620,
2007-07,-236.304,
2007-10,-234.217,
2008-01,-225.540,
2008-04,-237.849,
2008-07,-254.222,
2008-10,-247.210,
2009-01,-222.487,
2009-04,-196.756,
2009-07,-231.922,
2009-10,-263.488,
2010-01,-255.103,
2010-04,-252.636,
2010-07,-251.035,
2010-10,-257.952,
2011-01,-243.772,
2011-04,-121.751,
2011-07,-217.488,
2011-10,-233.113,
2012-01,-218.201,
2012-04,-191.672,
2012-07,-227.846,
2012-10,-222.531,
2013-01,-222.147,
2013-04,-163.214,
2013-07,-204.919,
2013-10,-224.907,
2014-01,-220.127,Provisional value
2014-04,-193.334,Provisional value
2014-07,-208.937,Provisional value
