"",BBK01.OECJ05N,BBK01.OECJ05N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:01:38,
2002-01,0.452,
2002-04,0.444,
2002-07,0.437,
2002-10,0.422,
2003-01,0.349,
2003-04,0.338,
2003-07,0.326,
2003-10,0.305,
2004-01,0.280,
2004-04,0.278,
2004-07,0.272,
2004-10,0.270,
2005-01,2.784,
2005-04,2.689,
2005-07,2.834,
2005-10,2.933,
2006-01,2.970,
2006-04,3.618,
2006-07,3.613,
2006-10,3.692,
2007-01,3.789,
2007-04,4.004,
2007-07,4.170,
2007-10,4.180,
2008-01,5.317,
2008-04,5.173,
2008-07,5.195,
2008-10,4.992,
2009-01,4.754,
2009-04,5.693,
2009-07,5.360,
2009-10,5.172,
2010-01,4.992,
2010-04,4.901,
2010-07,4.417,
2010-10,4.440,
2011-01,4.392,
2011-04,4.291,
2011-07,4.162,
2011-10,4.040,
2012-01,4.023,
2012-04,3.785,
2012-07,4.011,
2012-10,3.978,
2013-01,4.628,
2013-04,4.630,
2013-07,4.597,
2013-10,3.970,
2014-01,3.747,
2014-04,3.728,
2014-07,3.604,
