"",BBK01.OECB21L,BBK01.OECB21L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:32,
2002-01,5.257,
2002-04,1.171,
2002-07,1.494,
2002-10,2.114,
2003-01,1.332,
2003-04,1.315,
2003-07,1.059,
2003-10,1.664,
2004-01,3.241,
2004-04,1.796,
2004-07,2.593,
2004-10,2.470,
2005-01,2.595,
2005-04,2.874,
2005-07,2.944,
2005-10,3.801,
2006-01,2.992,
2006-04,1.983,
2006-07,2.109,
2006-10,2.360,
2007-01,3.154,
2007-04,2.502,
2007-07,2.500,
2007-10,3.437,
2008-01,3.808,
2008-04,4.273,
2008-07,4.139,
2008-10,5.314,
2009-01,8.222,
2009-04,7.315,
2009-07,7.046,
2009-10,5.607,
2010-01,7.236,
2010-04,6.842,
2010-07,7.333,
2010-10,14.198,
2011-01,13.564,
2011-04,11.615,
2011-07,13.205,
2011-10,12.922,
2012-01,11.693,
2012-04,11.485,
2012-07,10.233,
2012-10,11.664,
2013-01,11.622,
2013-04,11.981,
2013-07,11.272,
2013-10,14.131,
2014-01,15.000,
2014-04,15.474,
2014-07,15.402,
