"",BBFB1.Q.N.DE.GR.S1.S1.T.A.FA.P.F._Z._T.M.N,BBFB1.Q.N.DE.GR.S1.S1.T.A.FA.P.F._Z._T.M.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Portfolio investment / Net / Greece,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:41:28,
1991-01,10.169,
1991-04,26.584,
1991-07,20.544,
1991-10,0.307,
1992-01,-16.810,
1992-04,123.496,
1992-07,24.427,
1992-10,-142.280,
1993-01,-30.442,
1993-04,242.038,
1993-07,13.219,
1993-10,-1.942,
1994-01,-26.908,
1994-04,300.189,
1994-07,6.606,
1994-10,-35.977,
1995-01,1.636,
1995-04,-251.555,
1995-07,-128.154,
1995-10,306.318,
1996-01,703.771,
1996-04,-44.507,
1996-07,93.716,
1996-10,139.369,
1997-01,-18.996,
1997-04,178.810,
1997-07,-39.135,
1997-10,508.919,
1998-01,1052.809,
1998-04,667.532,
1998-07,158.699,
1998-10,936.946,
1999-01,2534.291,
1999-04,103.783,
1999-07,228.295,
1999-10,586.087,
2000-01,897.466,
2000-04,624.687,
2000-07,1833.950,
2000-10,186.025,
2001-01,-384.591,
2001-04,-578.176,
2001-07,3041.900,
2001-10,-706.825,
2002-01,732.388,
2002-04,588.115,
2002-07,337.886,
2002-10,-167.658,
2003-01,1089.698,
2003-04,1083.896,
2003-07,293.388,
2003-10,-471.125,
2004-01,-41.480,
2004-04,1364.691,
2004-07,2781.072,
2004-10,-733.143,
2005-01,3253.104,
2005-04,2393.863,
2005-07,727.668,
2005-10,743.482,
2006-01,1553.869,
2006-04,-1548.360,
2006-07,270.300,
2006-10,-1470.884,
2007-01,2292.183,
2007-04,-2989.466,
2007-07,-343.300,
2007-10,-528.403,
2008-01,1163.720,
2008-04,-2075.811,
2008-07,-268.506,
2008-10,119.916,
2009-01,1309.437,
2009-04,713.195,
2009-07,1103.248,
2009-10,2825.581,
2010-01,2675.674,
2010-04,3140.301,
2010-07,-607.144,
2010-10,6384.101,
2011-01,-964.035,
2011-04,-1354.881,
2011-07,-1160.461,
2011-10,-137.099,
2012-01,-8843.092,
2012-04,-213.816,
2012-07,-617.729,
2012-10,-618.919,
2013-01,-213.845,
2013-04,-1335.553,
2013-07,-1410.422,
2013-10,83.159,
2014-01,-643.326,Provisional value
2014-04,-580.649,Provisional value
2014-07,-907.290,Provisional value
2014-10,-70.170,Provisional value
