"",BBK01.OEBL09L,BBK01.OEBL09L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:15:06,
2002-01,0.977,
2002-04,0.925,
2002-07,0.966,
2002-10,0.922,
2003-01,0.823,
2003-04,0.751,
2003-07,0.696,
2003-10,0.683,
2004-01,0.656,
2004-04,0.624,
2004-07,0.596,
2004-10,0.593,
2005-01,0.626,
2005-04,0.605,
2005-07,0.542,
2005-10,0.544,
2006-01,0.540,
2006-04,0.605,
2006-07,0.623,
2006-10,0.665,
2007-01,0.899,
2007-04,0.984,
2007-07,1.086,
2007-10,1.266,
2008-01,1.362,
2008-04,1.430,
2008-07,1.550,
2008-10,2.331,
2009-01,2.307,
2009-04,2.285,
2009-07,2.268,
2009-10,1.801,
2010-01,1.424,
2010-04,1.379,
2010-07,1.326,
2010-10,1.614,
2011-01,1.862,
2011-04,1.931,
2011-07,1.970,
2011-10,1.908,
2012-01,1.736,
2012-04,1.724,
2012-07,1.634,
2012-10,1.420,
2013-01,1.197,
2013-04,1.066,
2013-07,1.030,
2013-10,0.998,
2014-01,0.941,
2014-04,0.917,
2014-07,1.198,
