"",BBK01.OEAE22J,BBK01.OEAE22J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:42,
2002-01,0.068,
2002-04,0.069,
2002-07,0.042,
2002-10,0.040,
2003-01,0.037,
2003-04,0.050,
2003-07,0.054,
2003-10,0.059,
2004-01,0.062,
2004-04,0.055,
2004-07,0.055,
2004-10,0.095,
2005-01,0.064,
2005-04,0.076,
2005-07,0.085,
2005-10,0.085,
2006-01,0.079,
2006-04,0.118,
2006-07,0.158,
2006-10,0.143,
2007-01,0.132,
2007-04,0.119,
2007-07,0.146,
2007-10,0.112,
2008-01,0.117,
2008-04,0.131,
2008-07,0.138,
2008-10,0.124,
2009-01,0.104,
2009-04,0.109,
2009-07,0.115,
2009-10,0.110,
2010-01,0.115,
2010-04,0.129,
2010-07,0.123,
2010-10,0.129,
2011-01,0.122,
2011-04,0.127,
2011-07,0.115,
2011-10,0.103,
2012-01,0.100,
2012-04,0.078,
2012-07,0.083,
2012-10,0.083,
2013-01,0.110,
2013-04,0.111,
2013-07,0.121,
2013-10,0.119,
2014-01,0.122,
2014-04,0.119,
2014-07,0.121,
