"",BBEX3.M.SEK.USD.CA.AC.A02,BBEX3.M.SEK.USD.CA.AC.A02_FLAGS
"",Exchange rates for the US dollar in Sweden / USD 1 = SEK ... (middle),
unit,SEK (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:20:52,
1972-01,4.8242,
1972-02,4.7954,
1972-03,4.7731,
1972-04,4.7845,
1972-05,4.7549,
1972-06,4.7379,
1972-07,4.7320,
1972-08,4.7275,
1972-09,4.7295,
1972-10,4.7451,
1972-11,4.7467,
1972-12,4.7447,
1973-01,4.7428,
1973-02,4.5821,
1973-03,4.4773,
1973-04,4.5128,
1973-05,4.4380,
1973-06,4.2162,
1973-07,4.0410,
1973-08,4.1523,
1973-09,4.2073,
1973-10,4.1812,
1973-11,4.3439,
1973-12,4.5356,
1974-01,4.7994,
1974-02,4.6850,
1974-03,4.5744,
1974-04,4.4025,
1974-05,4.2785,
1974-06,4.3739,
1974-07,4.3805,
1974-08,4.4245,
1974-09,4.4811,
1974-10,4.3984,
1974-11,4.3210,
1974-12,4.2030,
1975-01,4.0400,
1975-02,3.9840,
1975-03,3.9230,
1975-04,3.9770,
1975-05,3.9350,
1975-06,3.9206,
1975-07,4.1220,
1975-08,4.3190,
1975-09,4.4420,
1975-10,4.3960,
1975-11,4.3864,
1975-12,4.4101,
1976-01,4.3783,
1976-02,4.3733,
1976-03,4.4017,
1976-04,4.4023,
1976-05,4.4116,
1976-06,4.4494,
1976-07,4.4676,
1976-08,4.4108,
1976-09,4.3542,
1976-10,4.2555,
1976-11,4.2165,
1976-12,4.1611,
1977-01,4.2143,
1977-02,4.2476,
1977-03,4.2160,
1977-04,4.3442,
1977-05,4.3524,
1977-06,4.4155,
1977-07,4.3506,
1977-08,4.4525,
1977-09,4.8547,
1977-10,4.7969,
1977-11,4.7933,
1977-12,4.7505,
1978-01,4.6655,
1978-02,4.6410,
1978-03,4.6069,
1978-04,4.6001,
1978-05,4.6559,
1978-06,4.6105,
1978-07,4.5396,
1978-08,4.4379,
1978-09,4.4236,
1978-10,4.2901,
1978-11,4.3677,
1978-12,4.3828,
1979-01,4.3451,
1979-02,4.3660,
1979-03,4.3660,
1979-04,4.3906,
1979-05,4.3951,
1979-06,4.3434,
1979-07,4.2217,
1979-08,4.2209,
1979-09,4.1943,
1979-10,4.2079,
1979-11,4.2273,
1979-12,4.1817,
1980-01,4.1477,
1980-02,4.1703,
1980-03,4.3421,
1980-04,4.3664,
1980-05,4.2164,
1980-06,4.1686,
1980-07,4.1281,
1980-08,4.1772,
1980-09,4.1564,
1980-10,4.1916,
1980-11,4.3035,
1980-12,4.4094,
1981-01,4.4460,
1981-02,4.6116,
1981-03,4.6085,
1981-04,4.6802,
1981-05,4.8939,
1981-06,5.0494,
1981-07,5.1820,
1981-08,5.3032,
1981-09,5.4236,
1981-10,5.5385,
1981-11,5.4849,
1981-12,5.5444,
1982-01,5.6209,
1982-02,5.7604,
1982-03,5.8338,
1982-04,5.9149,
1982-05,5.7774,
1982-06,6.0142,
1982-07,6.1155,
1982-08,6.1381,
1982-09,6.2223,
1982-10,7.1550,
1982-11,7.5077,
1982-12,7.3535,
1983-01,7.3224,
1983-02,7.4335,
1983-03,7.4765,
1983-04,7.4834,
1983-05,7.4949,
1983-06,7.6330,
1983-07,7.6858,
1983-08,7.8596,
1983-09,7.8751,
1983-10,7.7802,
1983-11,7.9133,
1983-12,8.0563,
1984-01,8.1693,
1984-02,8.0090,
1984-03,7.7292,
1984-04,7.8313,
1984-05,8.0804,
1984-06,8.0984,
1984-07,8.2989,
