"",BBSF2.M.1.T.00000.TOT01.I.F.SVG.IT.00000.F03300.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.SVG.IT.00000.F03300.Z01.00_FLAGS
"",Funds total / Funds total / Debt securities total / Italy,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:43:26,
2009-09,35610,
2009-10,37018,
2009-11,37701,
2009-12,38531,
2010-01,38908,
2010-02,39095,
2010-03,38854,
2010-04,37107,
2010-05,37242,
2010-06,36846,
2010-07,38569,
2010-08,39337,
2010-09,40334,
2010-10,41523,
2010-11,39110,
2010-12,37799,
2011-01,38024,
2011-02,39166,
2011-03,39997,
2011-04,40665,
2011-05,40246,
2011-06,38727,
2011-07,35587,
2011-08,34472,
2011-09,32119,
2011-10,30975,
2011-11,28806,
2011-12,30482,
2012-01,31761,
2012-02,34036,
2012-03,34512,
2012-04,34222,
2012-05,33633,
2012-06,33285,
2012-07,33072,
2012-08,34001,
2012-09,35495,
2012-10,37473,
2012-11,41554,
2012-12,43296,
2013-01,45944,
2013-02,45678,
2013-03,46616,
2013-04,48850,
2013-05,48284,
2013-06,47380,
2013-07,48253,
2013-08,48276,
2013-09,48936,
2013-10,48682,
2013-11,48438,
2013-12,48610,
2014-01,51049,
2014-02,52028,
2014-03,52777,
2014-04,53767,
2014-05,54260,
2014-06,53790,
2014-07,54582,
2014-08,55499,
2014-09,55794,
2014-10,56150,
2014-11,57791,
