"",BBK01.OEAC24J,BBK01.OEAC24J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:52:15,
2002-01,1.096,
2002-04,1.355,
2002-07,1.389,
2002-10,1.326,
2003-01,1.307,
2003-04,1.250,
2003-07,1.206,
2003-10,1.054,
2004-01,0.973,
2004-04,0.960,
2004-07,0.942,
2004-10,0.975,
2005-01,1.014,
2005-04,0.997,
2005-07,0.942,
2005-10,0.920,
2006-01,0.921,
2006-04,0.884,
2006-07,0.825,
2006-10,0.835,
2007-01,0.757,
2007-04,0.746,
2007-07,0.687,
2007-10,0.734,
2008-01,0.743,
2008-04,0.793,
2008-07,0.880,
2008-10,0.842,
2009-01,0.789,
2009-04,0.771,
2009-07,0.743,
2009-10,0.687,
2010-01,0.500,
2010-04,0.695,
2010-07,0.650,
2010-10,0.721,
2011-01,0.716,
2011-04,0.753,
2011-07,0.722,
2011-10,0.698,
2012-01,0.765,
2012-04,0.827,
2012-07,0.832,
2012-10,0.890,
2013-01,0.886,
2013-04,0.855,
2013-07,0.822,
2013-10,0.848,
2014-01,0.915,
2014-04,0.867,
2014-07,0.706,
