"",BBK01.OEAE32S,BBK01.OEAE32S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:06:00,
2002-01,0.253,
2002-04,0.250,
2002-07,0.251,
2002-10,0.245,
2003-01,0.233,
2003-04,0.234,
2003-07,0.227,
2003-10,0.220,
2004-01,0.207,
2004-04,0.207,
2004-07,0.201,
2004-10,0.197,
2005-01,0.196,
2005-04,0.214,
2005-07,0.211,
2005-10,0.210,
2006-01,0.210,
2006-04,0.216,
2006-07,0.222,
2006-10,0.214,
2007-01,0.214,
2007-04,0.208,
2007-07,0.201,
2007-10,0.206,
2008-01,0.190,
2008-04,0.182,
2008-07,0.181,
2008-10,0.186,
2009-01,0.186,
2009-04,0.181,
2009-07,0.181,
2009-10,0.176,
2010-01,0.186,
2010-04,0.185,
2010-07,0.187,
2010-10,0.196,
2011-01,0.198,
2011-04,0.208,
2011-07,0.208,
2011-10,0.211,
2012-01,0.216,
2012-04,0.217,
2012-07,0.222,
2012-10,0.222,
2013-01,0.224,
2013-04,0.229,
2013-07,0.232,
2013-10,0.237,
2014-01,0.237,
2014-04,0.236,
2014-07,0.235,
