"",BBK01.OELK06M,BBK01.OELK06M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:10:45,
2002-01,0.111,
2002-04,0.109,
2002-07,0.108,
2002-10,0.103,
2003-01,0.100,
2003-04,0.096,
2003-07,0.094,
2003-10,0.091,
2004-01,0.088,
2004-04,0.087,
2004-07,0.086,
2004-10,0.084,
2005-01,0.081,
2005-04,0.081,
2005-07,0.078,
2005-10,0.079,
2006-01,0.081,
2006-04,0.086,
2006-07,0.089,
2006-10,0.094,
2007-01,0.101,
2007-04,0.106,
2007-07,0.111,
2007-10,0.114,
2008-01,0.123,
2008-04,0.125,
2008-07,0.146,
2008-10,0.158,
2009-01,0.154,
2009-04,0.140,
2009-07,0.114,
2009-10,0.098,
2010-01,0.094,
2010-04,0.092,
2010-07,0.089,
2010-10,0.087,
2011-01,0.087,
2011-04,0.088,
2011-07,0.087,
2011-10,0.097,
2012-01,0.097,
2012-04,0.095,
2012-07,0.095,
2012-10,0.081,
2013-01,0.072,
2013-04,0.068,
2013-07,0.063,
2013-10,0.059,
2014-01,0.055,
2014-04,0.052,
2014-07,0.052,
