"",BBK01.OECB13J,BBK01.OECB13J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:28:12,
2002-01,0.493,
2002-04,0.496,
2002-07,0.488,
2002-10,0.488,
2003-01,0.472,
2003-04,0.465,
2003-07,0.457,
2003-10,0.434,
2004-01,0.422,
2004-04,0.419,
2004-07,0.407,
2004-10,0.397,
2005-01,0.403,
2005-04,0.395,
2005-07,0.389,
2005-10,0.384,
2006-01,0.379,
2006-04,0.380,
2006-07,0.381,
2006-10,0.372,
2007-01,0.373,
2007-04,0.378,
2007-07,0.360,
2007-10,0.355,
2008-01,0.353,
2008-04,0.338,
2008-07,0.333,
2008-10,0.327,
2009-01,0.322,
2009-04,0.319,
2009-07,0.312,
2009-10,0.304,
2010-01,0.300,
2010-04,0.298,
2010-07,0.294,
2010-10,0.293,
2011-01,0.299,
2011-04,0.315,
2011-07,0.298,
2011-10,0.264,
2012-01,0.256,
2012-04,0.245,
2012-07,0.241,
2012-10,0.237,
2013-01,0.243,
2013-04,0.239,
2013-07,0.236,
2013-10,0.229,
2014-01,0.223,
2014-04,0.218,
2014-07,0.219,
