"",BBK01.OELI02Q,BBK01.OELI02Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:35,
2002-01,2.246,
2002-04,2.261,
2002-07,2.286,
2002-10,2.514,
2003-01,2.395,
2003-04,2.339,
2003-07,2.566,
2003-10,2.809,
2004-01,2.661,
2004-04,2.690,
2004-07,2.759,
2004-10,2.968,
2005-01,2.855,
2005-04,3.003,
2005-07,3.065,
2005-10,3.248,
2006-01,3.026,
2006-04,3.092,
2006-07,3.113,
2006-10,3.363,
2007-01,3.265,
2007-04,3.326,
2007-07,3.419,
2007-10,3.630,
2008-01,3.443,
2008-04,3.433,
2008-07,3.476,
2008-10,3.816,
2009-01,3.878,
2009-04,4.090,
2009-07,4.384,
2009-10,4.637,
2010-01,4.603,
2010-04,4.798,
2010-07,5.011,
2010-10,5.244,
2011-01,5.067,
2011-04,5.135,
2011-07,5.298,
2011-10,5.715,
2012-01,5.645,
2012-04,5.740,
2012-07,6.161,
2012-10,6.294,
2013-01,6.441,
2013-04,6.691,
2013-07,6.972,
2013-10,7.207,
2014-01,7.212,
2014-04,7.174,
2014-07,7.367,
