"",BBK01.OEAE31T,BBK01.OEAE31T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:06:14,
2002-01,0.659,
2002-04,0.664,
2002-07,0.667,
2002-10,0.658,
2003-01,0.639,
2003-04,0.663,
2003-07,0.696,
2003-10,0.699,
2004-01,0.722,
2004-04,0.737,
2004-07,0.730,
2004-10,0.735,
2005-01,0.735,
2005-04,0.740,
2005-07,0.759,
2005-10,0.775,
2006-01,0.757,
2006-04,0.764,
2006-07,0.773,
2006-10,0.781,
2007-01,0.781,
2007-04,0.750,
2007-07,0.769,
2007-10,0.711,
2008-01,0.684,
2008-04,0.700,
2008-07,0.679,
2008-10,0.692,
2009-01,0.367,
2009-04,0.411,
2009-07,0.427,
2009-10,0.409,
2010-01,0.439,
2010-04,0.452,
2010-07,0.480,
2010-10,0.466,
2011-01,0.564,
2011-04,0.562,
2011-07,0.565,
2011-10,0.619,
2012-01,0.603,
2012-04,0.610,
2012-07,0.628,
2012-10,0.635,
2013-01,0.655,
2013-04,0.649,
2013-07,0.649,
2013-10,0.668,
2014-01,0.670,
2014-04,0.691,
2014-07,0.693,
