"",BBK01.OEAC30P,BBK01.OEAC30P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:52:46,
2002-01,0.216,
2002-04,0.210,
2002-07,0.178,
2002-10,0.153,
2003-01,0.180,
2003-04,0.166,
2003-07,0.166,
2003-10,0.145,
2004-01,0.143,
2004-04,0.133,
2004-07,0.128,
2004-10,0.118,
2005-01,0.116,
2005-04,0.114,
2005-07,0.109,
2005-10,0.098,
2006-01,0.119,
2006-04,0.110,
2006-07,0.103,
2006-10,0.088,
2007-01,0.105,
2007-04,0.105,
2007-07,0.100,
2007-10,0.088,
2008-01,0.097,
2008-04,0.107,
2008-07,0.089,
2008-10,0.083,
2009-01,0.103,
2009-04,0.096,
2009-07,0.089,
2009-10,0.091,
2010-01,0.093,
2010-04,0.099,
2010-07,0.094,
2010-10,0.090,
2011-01,0.091,
2011-04,0.094,
2011-07,0.088,
2011-10,0.082,
2012-01,0.089,
2012-04,0.091,
2012-07,0.090,
2012-10,0.086,
2013-01,0.095,
2013-04,0.095,
2013-07,0.085,
2013-10,0.083,
2014-01,0.095,
2014-04,0.095,
2014-07,0.095,
