"",BBEE1.Q.I7.AAA.XZE01B.R.AACPE.M00,BBEE1.Q.I7.AAA.XZE01B.R.AACPE.M00_FLAGS
"","Real effective exchange rate of the Euro against the currencies of the EER-20 group, based on consumer price indices",
unit,1Q99=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-12 15:35:05,
1993-01,110.5735,
1993-04,108.4866,
1993-07,104.1823,
1993-10,103.6725,
1994-01,104.0615,
1994-04,105.9211,
1994-07,108.4179,
1994-10,107.8876,
1995-01,108.8336,
1995-04,109.9952,
1995-07,110.6811,
1995-10,111.6479,
1996-01,110.9116,
1996-04,108.9314,
1996-07,109.8156,
1996-10,107.9453,
1997-01,103.4001,
1997-04,100.1982,
1997-07,96.3788,
1997-10,99.5290,
1998-01,97.8964,
1998-04,99.0974,
1998-07,101.1836,
1998-10,103.3838,
1999-01,100.0000,
1999-04,96.3405,
1999-07,94.9601,
1999-10,93.0124,
2000-01,89.7560,
2000-04,86.9687,
2000-07,85.6884,
2000-10,84.0223,
2001-01,88.5320,
2001-04,85.8522,
2001-07,87.0187,
2001-10,87.5160,
2002-01,87.0172,
2002-04,88.9915,
2002-07,92.1345,
2002-10,93.1617,
2003-01,97.7728,
2003-04,102.1580,
2003-07,101.8836,
2003-10,103.9288,
2004-01,106.3480,
2004-04,103.7562,
2004-07,104.2088,
2004-10,106.5866,
2005-01,106.3492,
2005-04,104.3797,
2005-07,102.7147,
2005-10,101.5690,
2006-01,101.7856,
2006-04,104.0011,
2006-07,104.6182,
2006-10,104.3470,
2007-01,105.0027,
2007-04,106.2236,
2007-07,106.1265,
2007-10,108.3091,
2008-01,109.4131,
2008-04,111.3010,
2008-07,108.5738,
2008-10,104.7577,
2009-01,107.8683,
2009-04,108.7366,
2009-07,109.2968,
2009-10,110.5707,
2010-01,105.5719,
2010-04,100.3752,
2010-07,99.4941,
2010-10,100.9767,
2011-01,100.1881,
2011-04,102.5517,
2011-07,100.6260,
2011-10,99.4235,
2012-01,96.9908,
2012-04,95.9114,
2012-07,93.7474,
2012-10,95.5878,
2013-01,98.2882,
2013-04,98.2969,
2013-07,99.2085,
2013-10,99.9753,
2014-01,100.6823,
2014-04,100.1314,
2014-07,97.9107,
2014-10,95.5886,Provisional value
"",Source: European Central Bank: EXR.Q.E1.EUR.ERC0.A,
"","Methodology: Based on the weighted averages of the euro or, prior to 1999, of the exchange rates of the currencies preceding the euro against the currencies of the following countries: Australia, Bulgaria, Canada, China, Croatia, Czech Republic, Denmark, Hong Kong, Hungary, Japan, Lithuania, Norway, Poland, Romania, Singapore, South Korea, Sweden, Switzerland,the United Kingdom and the United States.                       Where consumer price indices were not yet available, estimates have been used.                                                        The weights used in these calculations are based on manufactured goodstrade and capture third-market effects.                            For details ofthe methodology see ECB, Monthly Bulletin, March 2012 as well as the ECB's Occasional Paper No.134, which can be downloaded from the ECB's website (www.ecb.int).",
