"",BBEX3.M.TWD.USD.CA.AB.A01,BBEX3.M.TWD.USD.CA.AB.A01_FLAGS
"",Exchange rates for the US dollar in China (Taiwan) / USD 1 = TWD... (selling),
unit,TWD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:21:41,
1984-01,40.230,
1984-02,40.220,
1984-03,39.970,
1984-04,39.690,
1984-05,39.940,
1984-06,39.680,
1984-07,39.230,
1984-08,39.080,
1984-09,39.230,
1984-10,39.330,
1984-11,39.530,
1984-12,39.520,
1985-01,39.130,
1985-02,39.370,
1985-03,39.590,
1985-04,39.970,
1985-05,39.830,
1985-06,40.050,
1985-07,40.360,
1985-08,40.470,
1985-09,40.450,
1985-10,40.140,
1985-11,39.830,
1985-12,39.900,
1986-01,39.360,
1986-02,39.140,
1986-03,38.820,
1986-04,38.590,
1986-05,38.220,
1986-06,38.140,
1986-07,38.100,
1986-08,37.010,
1986-09,36.770,
1986-10,36.540,
1986-11,36.310,
1986-12,35.550,
1987-01,35.110,
1987-02,35.040,
1987-03,34.310,
1987-04,33.070,
1987-05,31.540,
1987-06,31.130,
1987-07,30.930,
1987-08,30.160,
1987-09,30.140,
1987-10,30.010,
1987-11,29.510,
1987-12,28.600,
1988-01,28.660,
1988-02,28.670,
1988-03,28.690,
1988-04,28.690,
1988-05,28.670,
1988-06,28.940,
1988-07,28.680,
1988-08,28.830,
1988-09,28.980,
1988-10,28.540,
1988-11,28.180,
1988-12,28.220,
1989-01,27.700,
1989-02,27.810,
1989-03,27.460,
1989-04,25.650,
1989-05,26.160,
1989-06,26.010,
1989-07,25.780,
1989-08,25.710,
1989-09,25.650,
1989-10,25.950,
1989-11,26.190,
1989-12,26.220,
1990-01,26.200,
1990-02,26.200,
1990-03,26.460,
1990-04,26.440,
1990-05,27.510,
1990-06,27.250,
1990-07,27.230,
1990-08,27.340,
1990-09,27.350,
1990-10,27.330,
1990-11,27.290,
1990-12,27.170,
1991-01,27.150,
1991-02,27.210,
1991-03,27.500,
1991-04,27.430,
1991-05,27.250,
1991-06,27.160,
1991-07,26.940,
1991-08,26.750,
1991-09,26.540,
1991-10,26.400,
1991-11,25.810,
1991-12,25.800,
1992-01,25.050,
