"",BBK01.OEYB02K,BBK01.OEYB02K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:56,
2002-01,6.210,
2002-04,5.895,
2002-07,6.063,
2002-10,7.062,
2003-01,6.227,
2003-04,6.578,
2003-07,5.726,
2003-10,7.228,
2004-01,7.418,
2004-04,6.225,
2004-07,5.073,
2004-10,4.572,
2005-01,4.549,
2005-04,4.362,
2005-07,4.076,
2005-10,3.812,
2006-01,4.101,
2006-04,4.464,
2006-07,4.499,
2006-10,5.205,
2007-01,4.692,
2007-04,4.777,
2007-07,5.036,
2007-10,4.542,
2008-01,6.740,
2008-04,4.937,
2008-07,5.111,
2008-10,5.609,
2009-01,5.603,
2009-04,5.377,
2009-07,5.153,
2009-10,4.803,
2010-01,4.880,
2010-04,4.846,
2010-07,6.942,
2010-10,6.370,
2011-01,6.222,
2011-04,5.983,
2011-07,7.198,
2011-10,7.309,
2012-01,7.106,
2012-04,6.730,
2012-07,6.552,
2012-10,5.206,
2013-01,5.153,
2013-04,5.511,
2013-07,5.582,
2013-10,4.907,
2014-01,4.693,
2014-04,5.045,
2014-07,4.828,
