"",BBK01.OEAF15V,BBK01.OEAF15V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:10:34,
2002-01,0.814,
2002-04,0.963,
2002-07,0.989,
2002-10,0.998,
2003-01,0.915,
2003-04,0.916,
2003-07,0.948,
2003-10,0.888,
2004-01,0.832,
2004-04,0.833,
2004-07,0.824,
2004-10,0.786,
2005-01,0.838,
2005-04,0.815,
2005-07,0.798,
2005-10,0.791,
2006-01,0.729,
2006-04,0.708,
2006-07,0.712,
2006-10,0.696,
2007-01,0.665,
2007-04,0.653,
2007-07,0.657,
2007-10,0.635,
2008-01,0.593,
2008-04,0.566,
2008-07,0.593,
2008-10,0.603,
2009-01,0.582,
2009-04,0.587,
2009-07,0.577,
2009-10,0.563,
2010-01,0.526,
2010-04,0.735,
2010-07,0.731,
2010-10,0.536,
2011-01,0.509,
2011-04,0.527,
2011-07,0.616,
2011-10,0.568,
2012-01,0.555,
2012-04,0.566,
2012-07,0.404,
2012-10,0.392,
2013-01,0.375,
2013-04,0.375,
2013-07,0.393,
2013-10,0.380,
2014-01,0.372,
2014-04,0.379,
2014-07,0.385,
