"",BBK01.OEHB09T,BBK01.OEHB09T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:40:22,
2002-01,1.604,
2002-04,1.610,
2002-07,1.623,
2002-10,1.610,
2003-01,1.634,
2003-04,1.606,
2003-07,1.617,
2003-10,1.608,
2004-01,1.574,
2004-04,1.575,
2004-07,1.543,
2004-10,1.515,
2005-01,1.481,
2005-04,1.478,
2005-07,1.452,
2005-10,1.406,
2006-01,1.375,
2006-04,1.368,
2006-07,1.357,
2006-10,1.339,
2007-01,1.338,
2007-04,1.332,
2007-07,1.334,
2007-10,1.303,
2008-01,1.325,
2008-04,1.357,
2008-07,1.379,
2008-10,1.383,
2009-01,1.398,
2009-04,1.449,
2009-07,1.434,
2009-10,1.439,
2010-01,1.450,
2010-04,1.509,
2010-07,1.540,
2010-10,1.536,
2011-01,1.603,
2011-04,1.680,
2011-07,1.729,
2011-10,1.809,
2012-01,1.792,
2012-04,1.825,
2012-07,1.928,
2012-10,1.939,
2013-01,1.950,
2013-04,2.064,
2013-07,2.101,
2013-10,2.163,
2014-01,2.152,
2014-04,2.220,
2014-07,2.249,
