"",BBFB1.Q.N.DE.FR.S1.S1.T.A.FA.D.F5B._Z._T._X.N,BBFB1.Q.N.DE.FR.S1.S1.T.A.FA.D.F5B._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Direct investment / Equity / Reinvested earnings / France,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:41:16,
1991-01,26.886,
1991-04,45.711,
1991-07,40.017,
1991-10,39.590,
1992-01,-62.745,
1992-04,-37.146,
1992-07,-61.733,
1992-10,-68.538,
1993-01,-40.995,
1993-04,-46.369,
1993-07,-56.165,
1993-10,-64.664,
1994-01,9.866,
1994-04,59.594,
1994-07,58.090,
1994-10,27.626,
1995-01,-134.960,
1995-04,-131.700,
1995-07,-129.057,
1995-10,-141.084,
1996-01,90.228,
1996-04,103.763,
1996-07,135.755,
1996-10,117.734,
1997-01,-86.893,
1997-04,-55.212,
1997-07,-57.147,
1997-10,-76.959,
1998-01,46.889,
1998-04,47.230,
1998-07,46.594,
1998-10,24.090,
1999-01,-52.992,
1999-04,43.432,
1999-07,47.618,
1999-10,40.506,
2000-01,283.257,
2000-04,318.546,
2000-07,288.030,
2000-10,326.335,
2001-01,223.421,
2001-04,155.068,
2001-07,211.044,
2001-10,-197.656,
2002-01,-91.030,
2002-04,-242.075,
2002-07,76.362,
2002-10,-78.566,
2003-01,-146.816,
2003-04,-77.870,
2003-07,-44.591,
2003-10,-364.376,
2004-01,618.499,
2004-04,-46.554,
2004-07,506.855,
2004-10,619.980,
2005-01,171.622,
2005-04,-208.385,
2005-07,235.405,
2005-10,250.800,
2006-01,581.989,
2006-04,-195.229,
2006-07,230.943,
2006-10,-158.787,
2007-01,1208.296,
2007-04,231.102,
2007-07,638.197,
2007-10,-675.380,
2008-01,428.033,
2008-04,-864.437,
2008-07,-116.941,
2008-10,-65.529,
2009-01,285.908,
2009-04,5.663,
2009-07,172.596,
2009-10,-224.028,
2010-01,197.265,
2010-04,-229.136,
2010-07,-132.524,
2010-10,-482.219,
2011-01,220.880,
2011-04,-79.707,
2011-07,-139.551,
2011-10,-28.289,
2012-01,194.096,
2012-04,12.455,
2012-07,-102.760,
2012-10,65.871,
2013-01,542.903,
2013-04,511.724,
2013-07,463.453,
2013-10,185.056,
2014-01,455.817,Provisional value
2014-04,441.108,Provisional value
2014-07,392.161,Provisional value
2014-10,504.154,Provisional value
