"",BBFB1.Q.N.DE.IE.S1.S1.T.A.FA.F.F7.T._T.T.N,BBFB1.Q.N.DE.IE.S1.S1.T.A.FA.F.F7.T._T.T.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Financial derivates and employee stock options / Ireland,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:41:39,
1991-01,1.485,
1991-04,-0.057,
1991-07,-0.001,
1991-10,0.243,
1992-01,-3.218,
1992-04,-2.367,
1992-07,-0.835,
1992-10,-0.789,
1993-01,-0.375,
1993-04,2.964,
1993-07,1.408,
1993-10,15.850,
1994-01,11.366,
1994-04,3.798,
1994-07,13.717,
1994-10,-29.113,
1995-01,11.557,
1995-04,31.155,
1995-07,10.411,
1995-10,-26.357,
1996-01,1.827,
1996-04,6.868,
1996-07,-7.786,
1996-10,2.300,
1997-01,-8.008,
1997-04,-34.450,
1997-07,-2.044,
1997-10,-6.572,
1998-01,-11.285,
1998-04,-24.546,
1998-07,18.298,
1998-10,60.400,
1999-01,-8.995,
1999-04,-1.391,
1999-07,-2.122,
1999-10,73.926,
2000-01,26.380,
2000-04,-59.943,
2000-07,83.343,
2000-10,-136.277,
2001-01,248.101,
2001-04,-140.273,
2001-07,200.263,
2001-10,109.142,
2002-01,239.747,
2002-04,-99.914,
2002-07,58.271,
2002-10,-71.082,
2003-01,266.881,
2003-04,-103.272,
2003-07,-2.096,
2003-10,6.304,
2004-01,-174.602,
2004-04,44.405,
2004-07,-192.378,
2004-10,86.643,
2005-01,-46.843,
2005-04,-240.984,
2005-07,-298.561,
2005-10,23.710,
2006-01,-111.623,
2006-04,-27.163,
2006-07,18.376,
2006-10,50.806,
2007-01,132.475,
2007-04,41.665,
2007-07,-29.528,
2007-10,-112.199,
2008-01,79.869,
2008-04,-45.982,
2008-07,-507.920,
2008-10,-385.783,
2009-01,102.204,
2009-04,23.453,
2009-07,227.063,
2009-10,357.816,
2010-01,380.370,
2010-04,154.583,
2010-07,-71.755,
2010-10,2619.544,
2011-01,3955.278,
2011-04,379.848,
2011-07,629.241,
2011-10,502.714,
2012-01,995.023,
2012-04,766.640,
2012-07,140.508,
2012-10,-61.075,
2013-01,-36.713,
2013-04,598.541,
2013-07,-176.689,
2013-10,279.195,
2014-01,-376.014,Provisional value
2014-04,272.658,Provisional value
2014-07,-167.658,Provisional value
2014-10,30.185,Provisional value
