"",BBK01.OEHB19Q,BBK01.OEHB19Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:36:52,
2002-01,0.462,
2002-04,0.449,
2002-07,0.437,
2002-10,0.435,
2003-01,0.419,
2003-04,0.413,
2003-07,0.411,
2003-10,0.405,
2004-01,0.418,
2004-04,0.409,
2004-07,0.404,
2004-10,0.393,
2005-01,0.379,
2005-04,0.376,
2005-07,0.367,
2005-10,0.360,
2006-01,0.354,
2006-04,0.352,
2006-07,0.352,
2006-10,0.323,
2007-01,0.325,
2007-04,0.320,
2007-07,0.302,
2007-10,0.291,
2008-01,0.288,
2008-04,0.280,
2008-07,0.270,
2008-10,0.260,
2009-01,0.259,
2009-04,0.256,
2009-07,0.256,
2009-10,0.251,
2010-01,0.245,
2010-04,0.246,
2010-07,0.176,
2010-10,0.191,
2011-01,0.194,
2011-04,0.202,
2011-07,0.202,
2011-10,0.201,
2012-01,0.207,
2012-04,0.220,
2012-07,0.232,
2012-10,0.235,
2013-01,0.237,
2013-04,0.241,
2013-07,0.253,
2013-10,0.254,
2014-01,0.256,
2014-04,0.263,
2014-07,0.269,
