"",BBSF2.M.1.P.00000.SON01.I.F.MAK.Z5.00000.000000.Z01.00,BBSF2.M.1.P.00000.SON01.I.F.MAK.Z5.00000.000000.Z01.00_FLAGS
"",Public funds / Other funds / Net sales receipts,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:37:16,
2009-09,-2,
2009-10,-2,
2009-11,691,
2009-12,-6,
2010-01,-533,
2010-02,41,
2010-03,51,
2010-04,32,
2010-05,44,
2010-06,39,
2010-07,44,
2010-08,88,
2010-09,7,
2010-10,48,
2010-11,329,
2010-12,-435,
2011-01,51,
2011-02,14,
2011-03,32,
2011-04,19,
2011-05,110,
2011-06,-108,
2011-07,-1,
2011-08,78,
2011-09,-3,
2011-10,-8,
2011-11,844,
2011-12,-764,
2012-01,-24,
2012-02,-30,
2012-03,-34,
2012-04,170,
2012-05,210,
2012-06,3,
2012-07,-220,
2012-08,-130,
2012-09,-20,
2012-10,-13,
2012-11,842,
2012-12,-931,
2013-01,-27,
2013-02,-24,
2013-03,0,
2013-04,-14,
2013-05,-10,
2013-06,-10,
2013-07,-1,
2013-08,-5,
2013-09,-2,
2013-10,-9,
2013-11,-114,
2013-12,-4,
2014-01,3,
2014-02,6,
2014-03,58,
2014-04,0,
2014-05,3,
2014-06,9,
2014-07,22,
2014-08,13,
2014-09,-53,
2014-10,59,
2014-11,13,
