"",BBK01.OEAC22I,BBK01.OEAC22I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:52:00,
2002-01,0.193,
2002-04,0.195,
2002-07,0.193,
2002-10,0.162,
2003-01,0.148,
2003-04,0.197,
2003-07,0.189,
2003-10,0.216,
2004-01,0.230,
2004-04,0.254,
2004-07,0.222,
2004-10,0.100,
2005-01,0.138,
2005-04,0.119,
2005-07,0.144,
2005-10,0.089,
2006-01,0.264,
2006-04,0.080,
2006-07,0.099,
2006-10,0.119,
2007-01,0.060,
2007-04,0.045,
2007-07,0.071,
2007-10,0.072,
2008-01,0.122,
2008-04,0.134,
2008-07,0.133,
2008-10,0.068,
2009-01,0.126,
2009-04,0.128,
2009-07,0.198,
2009-10,0.119,
2010-01,0.093,
2010-04,0.166,
2010-07,0.154,
2010-10,0.126,
2011-01,0.290,
2011-04,0.064,
2011-07,0.050,
2011-10,0.129,
2012-01,0.056,
2012-04,0.054,
2012-07,0.073,
2012-10,0.032,
2013-01,0.040,
2013-04,0.067,
2013-07,0.087,
2013-10,0.127,
2014-01,0.090,
2014-04,0.118,
2014-07,0.114,
