"",BBEX3.M.LAK.USD.CA.AC.A01,BBEX3.M.LAK.USD.CA.AC.A01_FLAGS
"",Exchange rates for the US dollar in Lao People?s Democratic Republic  / USD 1 = LAK ... (middle),
unit,LAK (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:18:46,
1990-01,713.500,
1990-02,713.500,
1990-03,713.500,
1990-04,713.500,
1990-05,713.500,
1990-06,713.500,
1990-07,713.500,
1990-08,710.500,
1990-09,705.500,
1990-10,695.500,
1990-11,695.500,
1990-12,695.500,
1991-01,695.500,
1991-02,700.500,
1991-03,700.500,
1991-04,700.500,
1991-05,700.500,
1991-06,700.500,
1991-07,700.500,
1991-08,700.500,
1991-09,707.500,
1991-10,707.500,
1991-11,707.500,
1991-12,712.500,
1992-01,712.500,
1992-02,712.500,
1992-03,717.500,
1992-04,717.500,
1992-05,717.500,
1992-06,717.500,
1992-07,717.500,
1992-08,717.500,
1992-09,717.500,
1992-10,717.500,
1992-11,717.500,
1992-12,717.500,
1993-01,717.500,
1993-02,717.500,
1993-03,717.500,
1993-04,717.500,
1993-05,717.500,
1993-06,717.500,
1993-07,717.500,
1993-08,717.500,
1993-09,719.000,
1993-10,719.000,
1993-11,719.000,
1993-12,719.000,
1994-01,719.000,
1994-02,719.000,
1994-03,719.000,
1994-04,719.000,
1994-05,719.000,
1994-06,719.000,
1994-07,719.000,
1994-08,719.000,
1994-09,719.000,
1994-10,721.500,
1994-11,721.500,
1994-12,721.500,
1995-01,721.500,
1995-02,721.500,
1995-03,726.500,
1995-04,726.500,
1995-05,732.500,
1995-06,786.000,
1995-07,787.500,
1995-08,925.000,
1995-09,926.500,
1995-10,927.500,
1995-11,927.500,
1995-12,926.500,
1996-01,926.500,
1996-02,926.500,
1996-03,926.500,
1996-04,926.500,
1996-05,927.500,
1996-06,927.500,
1996-07,927.500,
1996-08,928.000,
1996-09,928.000,
1996-10,929.000,
1996-11,943.500,
1996-12,954.000,
1997-01,972.500,
1997-02,992.500,
1997-03,1012.500,
1997-04,1020.500,
