"",BBSF2.M.1.P.00000.TOT01.I.F.INV.GB.00000.F05200.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.INV.GB.00000.F05200.Z01.00_FLAGS
"",Public funds / Funds total / Investment fund shares / United Kingdom,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:45:27,
2009-09,587,
2009-10,599,
2009-11,627,
2009-12,683,
2010-01,676,
2010-02,712,
2010-03,811,
2010-04,838,
2010-05,769,
2010-06,755,
2010-07,776,
2010-08,844,
2010-09,912,
2010-10,1007,
2010-11,1068,
2010-12,1212,
2011-01,1153,
2011-02,1072,
2011-03,954,
2011-04,996,
2011-05,957,
2011-06,968,
2011-07,1029,
2011-08,785,
2011-09,731,
2011-10,763,
2011-11,728,
2011-12,724,
2012-01,848,
2012-02,876,
2012-03,914,
2012-04,899,
2012-05,841,
2012-06,849,
2012-07,922,
2012-08,965,
2012-09,1028,
2012-10,1040,
2012-11,1049,
2012-12,1034,
2013-01,1019,
2013-02,1049,
2013-03,1128,
2013-04,1081,
2013-05,1122,
2013-06,930,
2013-07,997,
2013-08,958,
2013-09,998,
2013-10,1052,
2013-11,1050,
2013-12,1086,
2014-01,1034,
2014-02,1025,
2014-03,984,
2014-04,993,
2014-05,1026,
2014-06,1030,
2014-07,1008,
2014-08,1012,
2014-09,1053,
2014-10,1040,
2014-11,1101,
