"",BBK01.OEAF01R,BBK01.OEAF01R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:09:35,
2002-01,6.483,
2002-04,6.541,
2002-07,6.626,
2002-10,6.761,
2003-01,6.705,
2003-04,6.767,
2003-07,6.798,
2003-10,6.794,
2004-01,6.727,
2004-04,6.741,
2004-07,6.739,
2004-10,6.702,
2005-01,7.380,
2005-04,7.420,
2005-07,7.436,
2005-10,7.396,
2006-01,7.344,
2006-04,7.478,
2006-07,7.565,
2006-10,7.513,
2007-01,7.527,
2007-04,7.593,
2007-07,7.593,
2007-10,7.608,
2008-01,7.491,
2008-04,7.421,
2008-07,7.496,
2008-10,7.471,
2009-01,7.372,
2009-04,7.729,
2009-07,7.742,
2009-10,7.778,
2010-01,7.760,
2010-04,7.779,
2010-07,7.827,
2010-10,7.853,
2011-01,7.851,
2011-04,7.855,
2011-07,7.901,
2011-10,7.954,
2012-01,7.970,
2012-04,8.105,
2012-07,8.189,
2012-10,8.220,
2013-01,8.219,
2013-04,8.306,
2013-07,8.396,
2013-10,8.425,
2014-01,8.447,
2014-04,8.515,
2014-07,8.603,
