"",BBK01.OELB18Q,BBK01.OELB18Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:37:01,
2002-01,0.322,
2002-04,0.341,
2002-07,0.335,
2002-10,0.322,
2003-01,0.295,
2003-04,0.286,
2003-07,0.270,
2003-10,0.258,
2004-01,0.246,
2004-04,0.243,
2004-07,0.247,
2004-10,0.246,
2005-01,0.240,
2005-04,0.238,
2005-07,0.246,
2005-10,0.239,
2006-01,0.233,
2006-04,0.212,
2006-07,0.210,
2006-10,0.193,
2007-01,0.185,
2007-04,0.190,
2007-07,0.189,
2007-10,0.192,
2008-01,0.193,
2008-04,0.199,
2008-07,0.198,
2008-10,0.197,
2009-01,0.187,
2009-04,0.192,
2009-07,0.180,
2009-10,0.178,
2010-01,0.186,
2010-04,0.189,
2010-07,0.189,
2010-10,0.173,
2011-01,0.177,
2011-04,0.177,
2011-07,0.181,
2011-10,0.179,
2012-01,0.179,
2012-04,0.188,
2012-07,0.194,
2012-10,0.187,
2013-01,0.176,
2013-04,0.185,
2013-07,0.202,
2013-10,0.199,
2014-01,0.194,
2014-04,0.196,
2014-07,0.195,
