"",BBK01.OEYB12P,BBK01.OEYB12P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:35:57,
2002-01,1.388,
2002-04,1.404,
2002-07,1.429,
2002-10,1.438,
2003-01,1.501,
2003-04,1.502,
2003-07,1.409,
2003-10,1.465,
2004-01,1.471,
2004-04,1.530,
2004-07,1.566,
2004-10,1.541,
2005-01,1.553,
2005-04,1.564,
2005-07,1.529,
2005-10,1.511,
2006-01,1.540,
2006-04,1.490,
2006-07,1.460,
2006-10,1.291,
2007-01,1.297,
2007-04,1.319,
2007-07,1.315,
2007-10,1.368,
2008-01,1.428,
2008-04,1.506,
2008-07,1.546,
2008-10,1.574,
2009-01,1.555,
2009-04,1.626,
2009-07,1.637,
2009-10,1.612,
2010-01,1.676,
2010-04,1.996,
2010-07,1.925,
2010-10,1.870,
2011-01,1.885,
2011-04,1.947,
2011-07,2.055,
2011-10,1.870,
2012-01,1.903,
2012-04,1.942,
2012-07,1.978,
2012-10,1.936,
2013-01,1.937,
2013-04,1.954,
2013-07,1.933,
2013-10,1.961,
2014-01,1.927,
2014-04,2.107,
2014-07,2.082,
