"",BBK01.OEAF26N,BBK01.OEAF26N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:08:47,
2002-01,9.268,
2002-04,9.076,
2002-07,9.463,
2002-10,8.947,
2003-01,9.173,
2003-04,9.488,
2003-07,9.639,
2003-10,10.090,
2004-01,9.793,
2004-04,9.810,
2004-07,10.406,
2004-10,9.811,
2005-01,9.668,
2005-04,10.173,
2005-07,9.559,
2005-10,9.280,
2006-01,8.468,
2006-04,8.500,
2006-07,8.515,
2006-10,8.621,
2007-01,8.530,
2007-04,8.690,
2007-07,8.544,
2007-10,8.490,
2008-01,8.452,
2008-04,8.646,
2008-07,8.273,
2008-10,8.441,
2009-01,8.742,
2009-04,9.157,
2009-07,9.394,
2009-10,9.636,
2010-01,9.557,
2010-04,9.520,
2010-07,9.690,
2010-10,9.805,
2011-01,9.881,
2011-04,9.986,
2011-07,9.996,
2011-10,9.514,
2012-01,9.366,
2012-04,9.301,
2012-07,9.365,
2012-10,9.316,
2013-01,9.441,
2013-04,9.563,
2013-07,9.680,
2013-10,9.697,
2014-01,9.668,
2014-04,9.870,
2014-07,9.974,
