"",BBK01.PQK351,BBK01.PQK351_FLAGS
"",Lending to domestic enterprises and resident individuals / Short-term / Regional institutions of credit cooperatives,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:19:50,
1958-10,0.546,
1959-01,-,Nothing exists
1959-04,0.476,
1959-07,-,Nothing exists
1959-10,0.631,
1960-01,-,Nothing exists
1960-04,0.548,
1960-07,-,Nothing exists
1960-10,0.628,
1961-01,-,Nothing exists
1961-04,0.540,
1961-07,-,Nothing exists
1961-10,0.638,
1962-01,-,Nothing exists
1962-04,0.587,
1962-07,-,Nothing exists
1962-10,0.706,
1963-01,-,Nothing exists
1963-04,0.618,
1963-07,-,Nothing exists
1963-10,0.754,
1964-01,-,Nothing exists
1964-04,0.659,
1964-07,-,Nothing exists
1964-10,0.854,
1965-01,0.813,
1965-04,0.779,
1965-07,0.842,
1965-10,0.931,
1966-01,0.954,
1966-04,0.907,
1966-07,1.048,
1966-10,1.072,
1967-01,1.007,
1967-04,0.931,
1967-07,0.931,
1967-10,1.025,
1968-01,0.956,
1968-04,0.895,
1968-07,0.966,
1968-10,1.052,
1969-01,0.989,
1969-04,0.960,
1969-07,1.093,
1969-10,1.328,
1970-01,1.275,
1970-04,1.159,
1970-07,1.271,
1970-10,1.304,
1971-01,1.189,
1971-04,1.217,
1971-07,1.433,
1971-10,1.487,
1972-01,1.262,
1972-04,1.259,
1972-07,1.418,
1972-10,1.628,
1973-01,1.511,
1973-04,1.443,
1973-07,1.360,
1973-10,1.838,
1974-01,1.753,
1974-04,1.834,
1974-07,2.050,
1974-10,2.258,
1975-01,1.968,
1975-04,1.908,
1975-07,1.917,
1975-10,1.884,
1976-01,1.773,
1976-04,1.762,
1976-07,2.078,
1976-10,2.045,
1977-01,2.020,
1977-04,2.158,
1977-07,2.123,
1977-10,2.209,
1978-01,2.154,
1978-04,2.292,
1978-07,2.559,
1978-10,2.638,
1979-01,2.626,
1979-04,2.928,
1979-07,3.221,
1979-10,3.547,
1980-01,2.912,
1980-04,3.440,
1980-07,3.497,
1980-10,4.216,
1981-01,3.859,
1981-04,3.945,
1981-07,4.043,
1981-10,4.228,
1982-01,4.059,
1982-04,4.083,
1982-07,4.479,
1982-10,4.602,
1983-01,4.283,
1983-04,4.406,
1983-07,4.989,
1983-10,5.060,
1984-01,5.204,
1984-04,5.333,
1984-07,6.109,
1984-10,6.211,
1985-01,6.199,
1985-04,6.290,
1985-07,6.105,
1985-10,6.365,
1986-01,5.650,
1986-04,5.655,
1986-07,5.142,
1986-10,5.492,
1987-01,4.699,
1987-04,4.439,
1987-07,4.482,
1987-10,4.820,
1988-01,4.301,
1988-04,4.513,
1988-07,4.403,
1988-10,4.583,
1989-01,4.366,
1989-04,4.616,
1989-07,4.736,
1989-10,4.989,
1990-01,5.191,
1990-04,9.046,
1990-07,8.510,
1990-10,9.955,
1991-01,7.695,
1991-04,8.343,
1991-07,8.437,
1991-10,8.475,
1992-01,8.015,
1992-04,8.239,
1992-07,8.220,
1992-10,8.914,
1993-01,7.060,
1993-04,6.831,
1993-07,6.730,
1993-10,7.162,
1994-01,6.070,
1994-04,5.737,
1994-07,5.791,
1994-10,5.890,
1995-01,5.739,
1995-04,6.123,
1995-07,6.086,
1995-10,6.952,
1996-01,6.958,
1996-04,7.228,
1996-07,7.128,
1996-10,7.389,
1997-01,6.918,
1997-04,7.577,
1997-07,7.030,
1997-10,9.306,
1998-01,8.682,
1998-04,8.617,
1998-07,8.672,
1998-10,11.278,
1999-01,11.191,
1999-04,12.765,
1999-07,12.548,
1999-10,12.119,
2000-01,13.184,
2000-04,13.338,
2000-07,14.196,
2000-10,12.533,
2001-01,12.976,
2001-04,13.432,
2001-07,11.510,
2001-10,11.326,
2002-01,10.970,
2002-04,9.081,
2002-07,9.510,
2002-10,9.198,
2003-01,8.822,
2003-04,8.943,
2003-07,8.068,
2003-10,9.538,
2004-01,8.179,
2004-04,8.308,
2004-07,7.026,
2004-10,6.348,
2005-01,7.620,
2005-04,6.637,
2005-07,6.851,
2005-10,5.547,
2006-01,6.882,
2006-04,6.060,
2006-07,6.318,
2006-10,5.834,
2007-01,6.047,
2007-04,6.743,
2007-07,6.679,
2007-10,6.860,
2008-01,9.601,
2008-04,10.230,
2008-07,9.471,
2008-10,10.026,
2009-01,11.116,
2009-04,11.565,
2009-07,8.430,
2009-10,9.107,
2010-01,9.659,
2010-04,7.121,
2010-07,10.095,
2010-10,7.043,
2011-01,10.014,
2011-04,7.646,
2011-07,9.662,
2011-10,7.319,
2012-01,9.931,
2012-04,7.845,
2012-07,7.732,
2012-10,8.884,
2013-01,9.699,
2013-04,8.903,
2013-07,5.484,
2013-10,5.318,
2014-01,5.371,
2014-04,5.386,
2014-07,5.359,
2014-10,5.451,
