"",BBDE1.Q.DE.Y.LCC1.P2XO00100.A.L.I08.A,BBDE1.Q.DE.Y.LCC1.P2XO00100.A.L.I08.A_FLAGS
"",Index of non-wage costs / Germany / Section O-S - Non-market service activities / Calendar and seasonally adjusted,
unit,2008=100 (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-09 08:05:19,
1996-01,92.3,
1996-04,89.5,
1996-07,90.5,
1996-10,91.1,
1997-01,92.3,
1997-04,94.5,
1997-07,93.4,
1997-10,94.4,
1998-01,93.9,
1998-04,95.7,
1998-07,97.0,
1998-10,98.0,
1999-01,97.4,
1999-04,99.4,
1999-07,99.7,
1999-10,100.4,
2000-01,100.4,
2000-04,98.3,
2000-07,101.7,
2000-10,102.2,
2001-01,101.8,
2001-04,100.9,
2001-07,100.9,
2001-10,102.5,
2002-01,104.7,
2002-04,103.3,
2002-07,103.3,
2002-10,104.2,
2003-01,104.4,
2003-04,104.1,
2003-07,106.8,
2003-10,104.6,
2004-01,103.4,
2004-04,105.4,
2004-07,104.8,
2004-10,103.8,
2005-01,102.8,
2005-04,105.2,
2005-07,101.5,
2005-10,101.1,
2006-01,101.8,
2006-04,100.4,
2006-07,100.0,
2006-10,101.1,
2007-01,100.1,
2007-04,98.1,
2007-07,98.2,
2007-10,99.0,
2008-01,98.0,
2008-04,99.5,
2008-07,101.6,
2008-10,100.8,
2009-01,103.2,
2009-04,104.8,
2009-07,105.6,
2009-10,105.0,
2010-01,105.5,
2010-04,107.0,
2010-07,107.7,
2010-10,107.5,
2011-01,111.3,
2011-04,112.0,
2011-07,111.8,
2011-10,111.1,
2012-01,112.3,
2012-04,111.6,
2012-07,113.1,
2012-10,115.5,
2013-01,118.0,
2013-04,115.4,
2013-07,114.9,
2013-10,116.9,
2014-01,115.7,
2014-04,118.3,
2014-07,119.7,
