"",BBEX3.M.NPR.EUR.CA.AA.A01,BBEX3.M.NPR.EUR.CA.AA.A01_FLAGS
"",Exchange rates for the euro in Nepal / EUR 1 = NPR ... (buying),
unit,NPR (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:19:50,
1999-01,76.84,
1999-02,74.03,
1999-03,72.42,
1999-04,72.31,
1999-05,71.08,
1999-06,70.52,
1999-07,72.89,
1999-08,71.48,
1999-09,72.05,
1999-10,72.07,
1999-11,69.18,
1999-12,68.72,
2000-01,67.54,
2000-02,66.07,
2000-03,65.51,
2000-04,62.60,
2000-05,65.32,
2000-06,66.41,
2000-07,65.69,
2000-08,64.37,
2000-09,64.14,
2000-10,62.15,
2000-11,63.64,
2000-12,68.71,
2001-01,67.65,
2001-02,67.49,
2001-03,65.13,
2001-04,67.09,
2001-05,63.70,
2001-06,62.98,
2001-07,66.66,
2001-08,67.76,
2001-09,69.31,
2001-10,68.88,
2001-11,67.53,
2001-12,67.34,
2002-01,65.98,
2002-02,66.76,
2002-03,67.55,
2002-04,70.11,
2002-05,73.20,
2002-06,77.27,
2002-07,76.48,
2002-08,76.86,
2002-09,76.26,
2002-10,76.73,
2002-11,77.51,
2002-12,81.02,
2003-01,83.92,
2003-02,83.83,
2003-03,83.06,
2003-04,84.67,
2003-05,89.56,
2003-06,86.65,
2003-07,85.52,
2003-08,80.94,
2003-09,84.69,
2003-10,85.76,
2003-11,88.25,
2003-12,92.19,
2004-01,92.80,
2004-02,91.32,
2004-03,87.49,
2004-04,85.02,
2004-05,90.11,
2004-06,90.09,
2004-07,90.02,
2004-08,90.43,
2004-09,91.69,
2004-10,94.19,
2004-11,96.70,
2004-12,96.37,
2005-01,92.05,
2005-02,93.27,
2005-03,91.63,
2005-04,91.30,
2005-05,87.89,
2005-06,84.68,
2005-07,84.72,
2005-08,86.96,
2005-09,85.84,
2005-10,88.15,
2005-11,87.33,
2005-12,86.27,
2006-01,86.03,
2006-02,84.65,
2006-03,86.39,
2006-04,89.74,
2006-05,94.79,
2006-06,92.94,
2006-07,94.42,
2006-08,95.28,
2006-09,93.27,
2006-10,91.61,
2006-11,93.91,
2006-12,93.08,
2007-01,91.35,
2007-02,92.84,
2007-03,92.65,
2007-04,88.89,
2007-05,87.08,
2007-06,87.70,
2007-07,88.56,
2007-08,89.73,
2007-09,90.26,
2007-10,91.15,
2007-11,93.99,
2007-12,92.65,
2008-01,93.19,
2008-02,96.07,
2008-03,100.47,
2008-04,100.18,
2008-05,107.88,
2008-06,107.50,
2008-07,105.60,
2008-08,103.27,
2008-09,108.09,
2008-10,104.79,
2008-11,102.99,
2008-12,110.37,
2009-01,100.83,
2009-02,103.00,
2009-03,107.96,
2009-04,105.32,
2009-05,105.14,
2009-06,107.51,
2009-07,108.77,
2009-08,111.13,
2009-09,113.08,
2009-10,111.01,
2009-11,110.88,
2009-12,107.19,
2010-01,103.13,
2010-02,99.95,
2010-03,97.09,
2010-04,93.80,
2010-05,91.21,
2010-06,90.72,
2010-07,96.88,
2010-08,94.89,
2010-09,97.67,
2010-10,98.13,
2010-11,96.88,
2010-12,95.03,
2011-01,99.82,
2011-02,99.77,
2011-03,100.27,
2011-04,104.85,
2011-05,102.26,
2011-06,102.93,
2011-07,100.45,
2011-08,106.31,
2011-09,106.10,
2011-10,109.93,
2011-11,110.60,
2011-12,109.98,
2012-01,103.24,
2012-02,105.07,
2012-03,108.92,
2012-04,111.02,
2012-05,111.29,
2012-06,113.03,
2012-07,108.33,
2012-08,111.41,
2012-09,108.52,
2012-10,111.42,
2012-11,113.78,
2012-12,115.64,
2013-01,115.16,
2013-02,112.09,
2013-03,110.92,
2013-04,113.41,
2013-05,116.09,
2013-06,125.34,
2013-07,127.46,
2013-08,140.51,
2013-09,134.81,
2013-10,134.79,
2013-11,135.37,
2013-12,135.94,
2014-01,135.79,
2014-02,135.09,
2014-03,131.43,
2014-04,133.57,
2014-05,128.21,
2014-06,130.82,
2014-07,128.39,
2014-08,127.23,
2014-09,124.65,
2014-10,123.39,
2014-11,123.13,
2014-12,122.98,
2015-01,112.12,
"","Source: Nepal Rastra Bank, Kathmandu",
