"",BBK01.CEB2Q3,BBK01.CEB2Q3_FLAGS
"",Currency and deposits (consolidated) debtor: All sectors                    creditor: Monetary financial institutions,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:14:52,
1991-01,220.1,
1991-04,208.1,
1991-07,201.9,
1991-10,215.1,
1992-01,209.7,
1992-04,195.6,
1992-07,222.4,
1992-10,214.8,
1993-01,222.9,
1993-04,243.6,
1993-07,247.1,
1993-10,278.7,
1994-01,250.9,
1994-04,240.4,
1994-07,233.2,
1994-10,259.7,
1995-01,246.8,
1995-04,263.2,
1995-07,278.0,
1995-10,281.4,
1996-01,282.3,
1996-04,281.9,
1996-07,281.8,
1996-10,299.0,
1997-01,303.9,
1997-04,317.3,
1997-07,315.8,
1997-10,345.4,
1998-01,350.3,
1998-04,363.1,
1998-07,358.8,
1998-10,373.3,
1999-01,411.9,
1999-04,405.1,
1999-07,414.6,
1999-10,404.6,
2000-01,424.9,
2000-04,430.2,
2000-07,453.5,
2000-10,458.6,
2001-01,501.0,
2001-04,511.2,
2001-07,534.5,
2001-10,543.3,
2002-01,536.5,
2002-04,560.9,
2002-07,615.0,
2002-10,643.1,
2003-01,686.7,
2003-04,735.5,
2003-07,710.0,
2003-10,701.5,
2004-01,727.1,
2004-04,752.2,
2004-07,765.1,
2004-10,785.1,
2005-01,849.5,
2005-04,904.3,
2005-07,918.6,
2005-10,881.4,
2006-01,972.9,
2006-04,998.7,
2006-07,981.0,
2006-10,1016.0,
2007-01,1031.9,
2007-04,1090.6,
2007-07,1137.2,
2007-10,1121.1,
2008-01,1133.7,
2008-04,1128.1,
2008-07,1191.1,
2008-10,1144.1,
2009-01,1069.5,
2009-04,1051.8,
2009-07,986.7,
2009-10,1006.3,
2010-01,1002.2,
2010-04,1060.6,
2010-07,1005.4,
2010-10,933.8,
2011-01,891.9,
2011-04,897.7,
2011-07,960.8,
2011-10,939.7,
2012-01,940.4,
2012-04,929.2,
2012-07,945.8,
2012-10,891.4,
2013-01,888.9,
2013-04,889.9,
2013-07,935.5,
2013-10,923.5,
2014-01,973.4,
