"",BBFB1.Q.N.DE.MX.S1.S1.T.L.FA.O.F._Z._T._X.N,BBFB1.Q.N.DE.MX.S1.S1.T.L.FA.O.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / Mexico,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:46:08,
1991-01,41.945,
1991-04,-19.179,
1991-07,-23.030,
1991-10,46.476,
1992-01,-10.584,
1992-04,-1.622,
1992-07,-19.630,
1992-10,31.475,
1993-01,-8.850,
1993-04,7.941,
1993-07,1.546,
1993-10,4.860,
1994-01,8.107,
1994-04,-13.682,
1994-07,11.405,
1994-10,29.949,
1995-01,-17.586,
1995-04,54.632,
1995-07,-77.540,
1995-10,64.718,
1996-01,-25.417,
1996-04,-53.990,
1996-07,-0.055,
1996-10,77.882,
1997-01,42.420,
1997-04,-35.124,
1997-07,0.958,
1997-10,42.918,
1998-01,53.274,
1998-04,355.796,
1998-07,-362.550,
1998-10,30.182,
1999-01,51.162,
1999-04,-23.494,
1999-07,103.007,
1999-10,380.466,
2000-01,-47.933,
2000-04,233.560,
2000-07,-514.573,
2000-10,70.795,
2001-01,535.126,
2001-04,-234.080,
2001-07,582.311,
2001-10,17.761,
2002-01,-498.222,
2002-04,172.719,
2002-07,-95.762,
2002-10,272.406,
2003-01,276.697,
2003-04,25.236,
2003-07,-80.911,
2003-10,-315.549,
2004-01,-44.424,
2004-04,-621.241,
2004-07,22.032,
2004-10,-42.520,
2005-01,5.811,
2005-04,131.617,
2005-07,173.016,
2005-10,-338.483,
2006-01,49.318,
2006-04,-17.799,
2006-07,483.595,
2006-10,120.317,
2007-01,-272.340,
2007-04,45.955,
2007-07,501.605,
2007-10,-90.142,
2008-01,-55.390,
2008-04,506.988,
2008-07,-177.759,
2008-10,-773.059,
2009-01,-27.850,
2009-04,163.197,
2009-07,-6.689,
2009-10,35.266,
2010-01,-4.488,
2010-04,-36.775,
2010-07,111.792,
2010-10,-316.423,
2011-01,21.896,
2011-04,-49.370,
2011-07,95.215,
2011-10,-119.611,
2012-01,197.162,
2012-04,147.475,
2012-07,226.301,
2012-10,40.547,
2013-01,325.978,
2013-04,80.631,
2013-07,-350.824,
2013-10,46.495,
2014-01,-313.492,Provisional value
2014-04,94.087,Provisional value
2014-07,149.915,Provisional value
2014-10,170.278,Provisional value
