"",BBFN1.M.DE.N.1.A.ZA.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.ZA.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from credit terms granted / Total / South Africa,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:20:48,
1994-07,0.953,
1994-08,1.152,
1994-09,1.147,
1994-10,1.161,
1994-11,1.162,
1994-12,1.173,
1995-01,1.145,
1995-02,1.153,
1995-03,1.151,
1995-04,1.177,
1995-05,1.212,
1995-06,1.207,
1995-07,1.215,
1995-08,1.179,
1995-09,1.166,
1995-10,1.115,
1995-11,1.080,
1995-12,1.119,
1996-01,1.054,
1996-02,1.058,
1996-03,1.148,
1996-04,1.076,
1996-05,1.107,
1996-06,1.095,
1996-07,1.110,
1996-08,1.095,
1996-09,1.118,
1996-10,1.073,
1996-11,1.045,
1996-12,1.007,
1997-01,0.964,
1997-02,0.997,
1997-03,0.976,
1997-04,0.964,
1997-05,0.895,
1997-06,0.862,
1997-07,0.877,
1997-08,0.917,
1997-09,0.892,
1997-10,0.892,
1997-11,0.885,
1997-12,0.899,
1998-01,0.886,
1998-02,0.951,
1998-03,0.913,
1998-04,0.918,
1998-05,0.965,
1998-06,0.959,
1998-07,0.964,
1998-08,0.935,
1998-09,0.938,
1998-10,0.927,
1998-11,0.931,
1998-12,0.923,
1999-01,0.925,
1999-02,0.881,
1999-03,0.877,
1999-04,0.778,
1999-05,0.866,
1999-06,0.926,
1999-07,0.949,
1999-08,0.935,
1999-09,0.947,
1999-10,0.983,
1999-11,0.885,
1999-12,0.937,
2000-01,0.927,
2000-02,0.983,
2000-03,0.979,
2000-04,0.946,
2000-05,0.985,
2000-06,0.963,
2000-07,1.013,
2000-08,1.066,
2000-09,1.084,
2000-10,1.083,
2000-11,1.128,
2000-12,1.105,
2001-01,1.034,
2001-02,1.071,
2001-03,1.009,
2001-04,1.048,
2001-05,1.020,
2001-06,1.098,
2001-07,1.125,
2001-08,1.127,
2001-09,1.219,
2001-10,1.173,
2001-11,1.142,
2001-12,1.047,
2002-01,1.020,
2002-02,0.975,
2002-03,0.998,
2002-04,0.983,
2002-05,1.109,
2002-06,1.060,
2002-07,1.043,
2002-08,1.050,
2002-09,1.027,
2002-10,0.997,
2002-11,0.973,
2002-12,0.992,
2003-01,0.987,
2003-02,1.052,
2003-03,0.972,
2003-04,0.973,
2003-05,0.951,
2003-06,0.968,
2003-07,0.974,
2003-08,1.003,
2003-09,0.962,
2003-10,0.935,
2003-11,0.905,
2003-12,0.891,
2004-01,0.831,
2004-02,0.834,
2004-03,0.902,
2004-04,0.930,
2004-05,0.968,
2004-06,0.999,
2004-07,1.044,
2004-08,1.034,
2004-09,1.035,
2004-10,1.060,
2004-11,1.001,
2004-12,1.061,
2005-01,1.068,
2005-02,1.065,
2005-03,1.030,
2005-04,1.021,
2005-05,1.026,
2005-06,1.072,
2005-07,1.061,
2005-08,1.055,
2005-09,1.177,
2005-10,1.203,
2005-11,1.205,
2005-12,1.256,
2006-01,1.281,
2006-02,1.306,
2006-03,1.414,
2006-04,1.396,
2006-05,1.421,
2006-06,1.479,
2006-07,1.471,
2006-08,1.472,
2006-09,1.358,
2006-10,1.416,
2006-11,1.265,
2006-12,1.357,
2007-01,1.262,
2007-02,1.373,
2007-03,1.259,
2007-04,1.245,
2007-05,1.215,
2007-06,1.221,
2007-07,1.270,
2007-08,1.404,
2007-09,1.383,
2007-10,1.399,
2007-11,1.320,
2007-12,1.328,
2008-01,1.323,
2008-02,1.303,
2008-03,1.298,
2008-04,1.329,
2008-05,1.323,
2008-06,1.321,
2008-07,1.327,
2008-08,1.256,
2008-09,1.252,
2008-10,1.238,
2008-11,1.103,
2008-12,1.117,
2009-01,1.062,
2009-02,1.057,
2009-03,0.970,
2009-04,0.884,
2009-05,0.898,
2009-06,0.898,
2009-07,0.872,
2009-08,0.869,
2009-09,0.961,
2009-10,0.985,
2009-11,0.949,
2009-12,0.987,
2010-01,0.943,
2010-02,1.021,
2010-03,1.117,
2010-04,1.096,
2010-05,1.082,
2010-06,1.124,
2010-07,1.152,
2010-08,1.138,
2010-09,1.212,
2010-10,1.200,
2010-11,1.169,
2010-12,1.194,
2011-01,1.149,
2011-02,1.151,
2011-03,1.191,
2011-04,1.161,
2011-05,1.198,
2011-06,1.285,
2011-07,1.337,
2011-08,1.372,
2011-09,1.398,
2011-10,1.384,
2011-11,1.306,
2011-12,1.246,
2012-01,1.237,
2012-02,1.275,
2012-03,1.294,
2012-04,1.209,
2012-05,1.215,
2012-06,1.252,
2012-07,1.326,
2012-08,1.283,
2012-09,1.316,
2012-10,1.371,
2012-11,1.213,
2012-12,1.271,
2013-01,1.468,
2013-02,1.599,
2013-03,1.337,
2013-04,1.315,
2013-05,1.244,
2013-06,1.290,
2013-07,1.288,
2013-08,1.354,
2013-09,1.297,
2013-10,1.227,
2013-11,1.210,
2013-12,1.348,
2014-01,1.271,
2014-02,1.258,
2014-03,1.246,
2014-04,1.255,
2014-05,1.268,
2014-06,1.344,
2014-07,1.371,
2014-08,1.419,
2014-09,1.459,
2014-10,1.503,
2014-11,1.314,
2014-12,1.477,
