"",BBDA1.M.DE.Y.EX.S.A.W1.A.C.A10.A,BBDA1.M.DE.Y.EX.S.A.W1.A.C.A10.A_FLAGS
"",German foreign trade: exports / At constant prices / Aggregate / all goods / Rest of the World / Calendar and seasonally adjusted,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-20 11:00:39,
2008-01,82.30,
2008-02,81.87,
2008-03,82.55,
2008-04,81.73,
2008-05,80.30,
2008-06,81.81,
2008-07,80.45,
2008-08,79.61,
2008-09,79.90,
2008-10,79.20,
2008-11,71.51,
2008-12,68.52,
2009-01,64.65,
2009-02,63.43,
2009-03,63.19,
2009-04,62.59,
2009-05,61.83,
2009-06,65.21,
2009-07,67.10,
2009-08,65.76,
2009-09,67.55,
2009-10,66.62,
2009-11,68.45,
2009-12,70.69,
2010-01,71.46,
2010-02,74.45,
2010-03,79.11,
2010-04,75.76,
2010-05,79.39,
2010-06,80.60,
2010-07,79.45,
2010-08,79.77,
2010-09,81.54,
2010-10,81.64,
2010-11,82.86,
2010-12,81.96,
2011-01,82.46,
2011-02,84.08,
2011-03,87.55,
2011-04,84.66,
2011-05,86.23,
2011-06,86.12,
2011-07,85.35,
2011-08,87.19,
2011-09,87.24,
2011-10,84.74,
2011-11,86.91,
2011-12,84.39,
2012-01,84.48,
2012-02,85.11,
2012-03,86.05,
2012-04,83.54,
2012-05,87.46,
2012-06,86.69,
2012-07,87.00,
2012-08,87.30,
2012-09,84.55,
2012-10,86.40,
2012-11,84.64,
2012-12,84.16,
2013-01,86.43,
2013-02,84.39,
2013-03,86.57,
2013-04,86.88,
2013-05,85.58,
2013-06,85.43,
2013-07,85.61,
2013-08,86.93,
2013-09,87.38,
2013-10,87.02,
2013-11,87.85,
2013-12,86.69,
2014-01,88.19,
2014-02,87.40,
2014-03,85.66,
2014-04,88.28,
2014-05,87.26,
2014-06,87.49,
2014-07,89.78,
2014-08,86.28,
2014-09,89.30,
2014-10,89.29,
2014-11,88.23,
2014-12,91.59,
