"",BBFB1.Q.N.DE.CH.S1.S1.T.B.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.CH.S1.S1.T.B.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods (fob/fob) / Balance / Switzerland,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:31:46,
1991-01,1995.645,
1991-04,1641.918,
1991-07,1528.491,
1991-10,1455.370,
1992-01,1471.003,
1992-04,1594.441,
1992-07,1312.070,
1992-10,1200.272,
1993-01,1353.586,
1993-04,1301.026,
1993-07,1109.651,
1993-10,1504.234,
1994-01,1213.762,
1994-04,1583.629,
1994-07,1259.087,
1994-10,1168.978,
1995-01,1735.554,
1995-04,1546.356,
1995-07,1856.142,
1995-10,1420.258,
1996-01,1338.959,
1996-04,1569.886,
1996-07,1197.242,
1996-10,526.612,
1997-01,1324.017,
1997-04,1578.573,
1997-07,1131.829,
1997-10,1181.077,
1998-01,1163.480,
1998-04,1240.897,
1998-07,1158.809,
1998-10,1449.112,
1999-01,1517.288,
1999-04,1526.255,
1999-07,1034.534,
1999-10,790.403,
2000-01,1392.748,
2000-04,1355.581,
2000-07,1529.449,
2000-10,1296.489,
2001-01,2134.461,
2001-04,1987.147,
2001-07,1408.907,
2001-10,1238.885,
2002-01,1567.598,
2002-04,1436.091,
2002-07,1264.079,
2002-10,1370.169,
2003-01,1251.123,
2003-04,1266.874,
2003-07,1227.348,
2003-10,653.066,
2004-01,749.973,
2004-04,667.460,
2004-07,309.022,
2004-10,476.318,
2005-01,1162.912,
2005-04,135.650,
2005-07,652.377,
2005-10,-123.431,
2006-01,192.034,
2006-04,207.819,
2006-07,749.623,
2006-10,1762.129,
2007-01,46.468,
2007-04,-141.727,
2007-07,-123.489,
2007-10,94.905,
2008-01,-413.341,
2008-04,-573.969,
2008-07,-102.788,
2008-10,310.495,
2009-01,184.386,
2009-04,77.986,
2009-07,321.110,
2009-10,1167.501,
2010-01,956.082,
2010-04,267.755,
2010-07,875.139,
2010-10,1102.332,
2011-01,1118.027,
2011-04,1160.861,
2011-07,1410.402,
2011-10,510.281,
2012-01,2044.556,
2012-04,590.287,
2012-07,-444.767,
2012-10,105.864,
2013-01,1153.578,
2013-04,366.344,
2013-07,-656.763,
2013-10,-1222.676,
2014-01,-1046.883,Provisional value
2014-04,-1349.501,Provisional value
2014-07,-1194.989,Provisional value
