"",BBK01.OEAC43G,BBK01.OEAC43G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:54:05,
2002-01,2.239,
2002-04,2.227,
2002-07,2.206,
2002-10,2.296,
2003-01,2.224,
2003-04,2.245,
2003-07,2.222,
2003-10,2.217,
2004-01,2.226,
2004-04,2.177,
2004-07,2.183,
2004-10,2.187,
2005-01,2.162,
2005-04,2.147,
2005-07,2.115,
2005-10,1.938,
2006-01,1.881,
2006-04,1.851,
2006-07,1.800,
2006-10,1.777,
2007-01,1.757,
2007-04,1.699,
2007-07,1.641,
2007-10,1.683,
2008-01,1.508,
2008-04,1.490,
2008-07,1.416,
2008-10,1.400,
2009-01,1.377,
2009-04,1.397,
2009-07,1.398,
2009-10,1.400,
2010-01,1.415,
2010-04,1.361,
2010-07,1.413,
2010-10,1.386,
2011-01,1.492,
2011-04,1.510,
2011-07,1.514,
2011-10,1.514,
2012-01,1.483,
2012-04,1.511,
2012-07,1.526,
2012-10,1.527,
2013-01,1.488,
2013-04,1.487,
2013-07,1.450,
2013-10,1.458,
2014-01,1.471,
2014-04,1.489,
2014-07,1.468,
