"",BBK01.OECJ02L,BBK01.OECJ02L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:01:18,
2002-01,15.916,
2002-04,18.529,
2002-07,18.904,
2002-10,19.497,
2003-01,18.774,
2003-04,22.264,
2003-07,22.966,
2003-10,21.393,
2004-01,25.854,
2004-04,27.959,
2004-07,25.345,
2004-10,20.354,
2005-01,28.644,
2005-04,28.041,
2005-07,32.126,
2005-10,24.889,
2006-01,30.971,
2006-04,32.386,
2006-07,29.166,
2006-10,26.714,
2007-01,29.756,
2007-04,30.345,
2007-07,33.631,
2007-10,25.048,
2008-01,32.049,
2008-04,27.566,
2008-07,26.644,
2008-10,20.491,
2009-01,22.088,
2009-04,26.695,
2009-07,21.042,
2009-10,19.794,
2010-01,19.984,
2010-04,21.087,
2010-07,19.453,
2010-10,21.260,
2011-01,25.626,
2011-04,19.577,
2011-07,19.247,
2011-10,20.606,
2012-01,23.115,
2012-04,21.688,
2012-07,20.702,
2012-10,20.592,
2013-01,20.182,
2013-04,21.414,
2013-07,18.347,
2013-10,19.242,
2014-01,17.724,
2014-04,16.633,
2014-07,15.952,
