"",BBK01.OEXK02I,BBK01.OEXK02I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:11:03,
2002-01,1.056,
2002-04,1.024,
2002-07,1.040,
2002-10,1.159,
2003-01,1.087,
2003-04,1.088,
2003-07,0.688,
2003-10,0.705,
2004-01,0.692,
2004-04,0.728,
2004-07,0.716,
2004-10,0.905,
2005-01,0.826,
2005-04,0.802,
2005-07,0.815,
2005-10,1.131,
2006-01,1.099,
2006-04,1.180,
2006-07,1.082,
2006-10,1.639,
2007-01,1.596,
2007-04,1.670,
2007-07,1.652,
2007-10,1.478,
2008-01,1.407,
2008-04,1.326,
2008-07,1.241,
2008-10,1.287,
2009-01,1.452,
2009-04,1.603,
2009-07,1.647,
2009-10,1.845,
2010-01,1.946,
2010-04,2.970,
2010-07,3.098,
2010-10,3.259,
2011-01,3.539,
2011-04,3.604,
2011-07,3.908,
2011-10,3.980,
2012-01,4.471,
2012-04,4.943,
2012-07,5.277,
2012-10,5.273,
2013-01,5.418,
2013-04,5.350,
2013-07,5.469,
2013-10,5.690,
2014-01,5.659,
2014-04,5.759,
2014-07,5.751,
