"",BBSF2.M.1.S.00000.AKT01.T.F.ANZ.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.AKT01.T.F.ANZ.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Equity funds / Number / Not defined / Cumulative funds,
unit,Stück (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-29 10:48:52,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,3,
1993-05,3,
1993-06,3,
1993-07,3,
1993-08,3,
1993-09,3,
1993-10,3,
1993-11,3,
1993-12,3,
1994-01,3,
1994-02,3,
1994-03,3,
1994-04,3,
1994-05,3,
1994-06,3,
1994-07,3,
1994-08,3,
1994-09,3,
1994-10,5,
1994-11,5,
1994-12,5,
1995-01,5,
1995-02,5,
1995-03,5,
1995-04,5,
1995-05,5,
1995-06,5,
1995-07,5,
1995-08,5,
1995-09,5,
1995-10,5,
1995-11,5,
1995-12,5,
1996-01,5,
1996-02,5,
1996-03,5,
1996-04,5,
1996-05,5,
1996-06,5,
1996-07,5,
1996-08,5,
1996-09,5,
1996-10,5,
1996-11,5,
1996-12,5,
1997-01,5,
1997-02,5,
1997-03,5,
1997-04,5,
1997-05,5,
1997-06,5,
1997-07,5,
1997-08,5,
1997-09,6,
1997-10,6,
1997-11,6,
1997-12,6,
1998-01,6,
1998-02,6,
1998-03,6,
1998-04,6,
1998-05,6,
1998-06,6,
1998-07,9,
1998-08,9,
1998-09,9,
1998-10,9,
1998-11,9,
1998-12,8,
1999-01,9,
1999-02,9,
1999-03,9,
1999-04,9,
1999-05,9,
1999-06,9,
1999-07,9,
1999-08,9,
1999-09,9,
1999-10,9,
1999-11,9,
1999-12,9,
2000-01,9,
2000-02,9,
2000-03,9,
2000-04,9,
2000-05,9,
2000-06,9,
2000-07,10,
2000-08,10,
2000-09,10,
2000-10,10,
2000-11,10,
2000-12,10,
2001-01,10,
2001-02,10,
2001-03,10,
2001-04,9,
2001-05,10,
2001-06,10,
2001-07,10,
2001-08,10,
2001-09,10,
2001-10,10,
2001-11,10,
2001-12,10,
2002-01,10,
2002-02,10,
2002-03,10,
2002-04,10,
2002-05,10,
2002-06,10,
2002-07,10,
2002-08,10,
2002-09,10,
2002-10,12,
2002-11,12,
2002-12,12,
2003-01,12,
2003-02,12,
2003-03,12,
2003-04,12,
2003-05,13,
2003-06,13,
2003-07,13,
2003-08,13,
2003-09,13,
2003-10,13,
2003-11,13,
2003-12,13,
2004-01,13,
2004-02,13,
2004-03,12,
2004-04,12,
2004-05,11,
2004-06,11,
2004-07,11,
2004-08,11,
2004-09,11,
2004-10,11,
2004-11,10,
2004-12,10,
2005-01,10,
2005-02,10,
2005-03,6,
2005-04,8,
2005-05,8,
2005-06,8,
2005-07,7,
2005-08,7,
2005-09,5,
2005-10,5,
2005-11,5,
2005-12,5,
2006-01,5,
2006-02,5,
2006-03,5,
2006-04,6,
2006-05,6,
2006-06,6,
2006-07,6,
2006-08,6,
2006-09,6,
2006-10,6,
2006-11,6,
2006-12,6,
2007-01,6,
2007-02,6,
2007-03,6,
2007-04,6,
2007-05,6,
2007-06,6,
2007-07,6,
2007-08,6,
2007-09,5,
2007-10,5,
2007-11,5,
2007-12,5,
2008-01,5,
2008-02,5,
2008-03,5,
2008-04,5,
2008-05,5,
2008-06,5,
2008-07,5,
2008-08,5,
2008-09,5,
2008-10,5,
2008-11,5,
2008-12,4,
2009-01,4,
2009-02,4,
2009-03,4,
2009-04,4,
2009-05,5,
2009-06,5,
2009-07,5,
2009-08,4,
2009-09,6,
2009-10,6,
2009-11,6,
2009-12,6,
2010-01,7,
2010-02,6,
2010-03,6,
2010-04,6,
2010-05,6,
2010-06,6,
2010-07,6,
2010-08,6,
2010-09,7,
2010-10,7,
2010-11,6,
2010-12,6,
2011-01,6,
2011-02,6,
2011-03,6,
2011-04,6,
2011-05,6,
2011-06,6,
2011-07,6,
2011-08,6,
2011-09,6,
2011-10,6,
2011-11,6,
2011-12,6,
2012-01,6,
2012-02,6,
2012-03,6,
2012-04,7,
2012-05,7,
2012-06,8,
2012-07,7,
2012-08,7,
2012-09,7,
2012-10,7,
2012-11,7,
2012-12,6,
2013-01,6,
2013-02,6,
2013-03,6,
2013-04,6,
2013-05,6,
2013-06,6,
2013-07,6,
2013-08,6,
2013-09,11,
2013-10,11,
2013-11,11,
2013-12,12,
2014-01,13,
2014-02,13,
2014-03,12,
2014-04,12,
2014-05,12,
2014-06,12,
2014-07,11,
2014-08,11,
2014-09,11,
2014-10,11,
2014-11,11,
