"",BBK01.OXA8I1,BBK01.OXA8I1_FLAGS
"",Transferable deposits Overnight deposits - All categories of banks,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:15:09,
2009-12,1236.416,
2010-01,1289.910,
2010-02,1298.882,
2010-03,1261.841,
2010-04,1321.999,
2010-05,1345.146,
2010-06,1672.738,
2010-07,1643.643,
2010-08,1672.403,
2010-09,1619.714,
2010-10,1638.103,
2010-11,1708.173,
2010-12,1583.229,
2011-01,1668.438,
2011-02,1649.797,
2011-03,1582.949,
2011-04,1630.603,
2011-05,1628.665,
2011-06,1599.435,
2011-07,1604.064,
2011-08,1620.850,
2011-09,1699.646,
2011-10,1713.639,
2011-11,1765.524,
2011-12,1617.999,
2012-01,1748.451,
2012-02,1791.864,
2012-03,1807.707,
2012-04,1812.825,
2012-05,1880.068,
2012-06,1836.773,
2012-07,1881.282,
2012-08,1879.433,
2012-09,1884.148,
2012-10,1907.920,
2012-11,1927.409,
2012-12,1836.121,
2013-01,1886.474,
2013-02,1894.894,
2013-03,1856.005,
2013-04,1899.578,
2013-05,1915.292,
2013-06,1890.862,
2013-07,1900.631,
2013-08,1896.821,
2013-09,1921.981,
2013-10,1925.937,
2013-11,1977.046,
2013-12,1876.126,
2014-01,1961.203,
2014-02,1960.996,
2014-03,1952.583,
2014-04,1968.367,
2014-05,1995.567,
2014-06,2025.850,
2014-07,2057.010,
2014-08,2018.152,
2014-09,2058.200,
2014-10,2070.014,
2014-11,2107.151,
2014-12,2035.692,Provisional value
