"",BBK01.OEGL01I,BBK01.OEGL01I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:07:17,
2002-01,11.994,
2002-04,11.848,
2002-07,11.654,
2002-10,11.647,
2003-01,11.726,
2003-04,11.518,
2003-07,14.911,
2003-10,14.864,
2004-01,15.006,
2004-04,14.533,
2004-07,13.327,
2004-10,13.427,
2005-01,13.330,
2005-04,13.262,
2005-07,13.028,
2005-10,13.169,
2006-01,13.295,
2006-04,13.360,
2006-07,13.238,
2006-10,10.630,
2007-01,10.648,
2007-04,10.746,
2007-07,10.829,
2007-10,11.074,
2008-01,11.014,
2008-04,11.130,
2008-07,11.091,
2008-10,11.761,
2009-01,12.254,
2009-04,12.185,
2009-07,12.196,
2009-10,12.372,
2010-01,12.485,
2010-04,12.730,
2010-07,12.767,
2010-10,13.002,
2011-01,12.836,
2011-04,12.878,
2011-07,12.822,
2011-10,13.083,
2012-01,13.198,
2012-04,13.358,
2012-07,13.374,
2012-10,13.540,
2013-01,13.558,
2013-04,13.648,
2013-07,13.720,
2013-10,13.881,
2014-01,14.004,
2014-04,14.140,
2014-07,14.196,
