"",BBK01.OELB05L,BBK01.OELB05L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:55,
2002-01,32.013,
2002-04,32.227,
2002-07,32.249,
2002-10,32.148,
2003-01,32.048,
2003-04,32.059,
2003-07,32.272,
2003-10,32.366,
2004-01,32.187,
2004-04,32.261,
2004-07,32.440,
2004-10,32.393,
2005-01,32.294,
2005-04,32.314,
2005-07,32.471,
2005-10,32.512,
2006-01,32.602,
2006-04,32.641,
2006-07,32.805,
2006-10,32.629,
2007-01,32.370,
2007-04,32.315,
2007-07,32.324,
2007-10,32.279,
2008-01,32.192,
2008-04,32.263,
2008-07,32.361,
2008-10,32.485,
2009-01,32.556,
2009-04,32.725,
2009-07,33.027,
2009-10,33.161,
2010-01,33.285,
2010-04,33.386,
2010-07,33.500,
2010-10,33.675,
2011-01,33.738,
2011-04,34.082,
2011-07,34.268,
2011-10,34.440,
2012-01,34.738,
2012-04,36.951,
2012-07,37.430,
2012-10,37.612,
2013-01,37.896,
2013-04,38.096,
2013-07,38.591,
2013-10,38.812,
2014-01,39.034,
2014-04,39.356,
2014-07,39.807,
